POLLING PLACE,ADDRESS,CITY,STATE,ZIP,Cong,LEG,COUN,WARD AND PRECINCTS,# pp in location,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
SCHOOL #27 COMMODORE RODGERS ELEM,98 N CHESTER ST,BALTIMORE,MD,21231,7,46,13,06-002,,39.292877,-76.587643,1,range_interpolation,98,N Chester St,,,Baltimore,MD,Baltimore City,21231,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #27 COMMODORE RODGERS ELEM,99 N CHESTER ST,BALTIMORE,MD,21231,7,46,13,06-003,,39.292897,-76.587344,1,range_interpolation,99,N Chester St,,,Baltimore,MD,Baltimore City,21231,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #27 COMMODORE RODGERS ELEM,100 N CHESTER ST,BALTIMORE,MD,21231,7,46,13,06-004,3,39.2936,-76.587787,1,rooftop,100,N Chester St,,,Baltimore,MD,Baltimore City,21231,US,City of Baltimore (City of Baltimore)
SCHOOL #28 SANDTOWN-WINCHESTER ACHIEV ACAD,701 GOLD ST,BALTIMORE,MD,21217,7,44A,7,15-019,1,39.306354,-76.640455,1,rooftop,701,Gold St,,,Baltimore,MD,Baltimore City,21217,US,City of Baltimore (City of Baltimore)
SCHOOL #29 HENSON ELEM,1600 N PAYSON ST,BALTIMORE,MD,21217,7,40,7,15-017,1,39.306781,-76.650401,1,rooftop,1600,N Payson St,,,Baltimore,MD,Baltimore City,21217,US,City of Baltimore (City of Baltimore)
SCHOOL #34 CHARLES CARROLL ELEM,1327 WASHINGTON BLVD,BALTIMORE,MD,21230,3,40,10,21-003,1,39.279829,-76.635948,1,rooftop,1327,Washington Blvd,,,Baltimore,MD,Baltimore City,21230,US,City of Baltimore (City of Baltimore)
SCHOOL #346 CITY NEIGHBORS HAMILTON,5609 SEFTON  AVE - REAR,BALTIMORE,MD,21214,3,45,3,27-005,1,39.350474,-76.554991,1,rooftop,5609,Sefton Ave,,,Baltimore,MD,Baltimore City,21214,US,City of Baltimore (City of Baltimore)
SCHOOL #37 HARFORD HGTS PRIMARY,1918 N BROADWAY,BALTIMORE,MD,21213,7,45,14,08-004,,39.312388,-76.595421,1,range_interpolation,1918,N Broadway,,,Baltimore,MD,Baltimore City,21213,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #37 HARFORD HGTS PRIMARY,1919 N BROADWAY,BALTIMORE,MD,21213,7,45,14,08-005,2,39.313512,-76.594653,1,rooftop,1919,N Broadway,,,Baltimore,MD,Baltimore City,21213,US,City of Baltimore (City of Baltimore)
SCHOOL #374 VANGUARD COLLEGIATE MIDDLE,4999 TRUESDALE AVE,BALTIMORE,MD,21206,2,45,2,26-016,,39.318229,-76.546527,1,range_interpolation,4999,Truesdale Ave,,,Baltimore,MD,Baltimore City,21206,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #374 VANGUARD COLLEGIATE MIDDLE,5000 TRUESDALE AVE,BALTIMORE,MD,21206,2,45,2,26-024,2,39.320459,-76.546054,1,rooftop,5000,Truesdale Ave,,,Baltimore,MD,Baltimore City,21206,US,City of Baltimore (City of Baltimore)
SCHOOL #375 BALTIMORE COLLEGIATE SCH FOR BOYS,2500 E NORTHERN PKWY,BALTIMORE,MD,21214,3,43,3,27-013,1,39.366565,-76.561038,1,rooftop,2500,E Northern Pkwy,,,Baltimore,MD,Baltimore City,21214,US,City of Baltimore (City of Baltimore)
SCHOOL #39 DALLAS F. NICHOLAS SR ELEM,201 E 21ST ST,BALTIMORE,MD,21218,7,43,12,12-011,1,39.313134,-76.613618,1,rooftop,201,E 21st St,,,Baltimore,MD,Baltimore City,21218,US,City of Baltimore (City of Baltimore)
SCHOOL #4 STEUART HILL ELEM,28 S GILMOR ST,BALTIMORE,MD,21223,7,40,9,19-002,,39.287284,-76.642487,1,range_interpolation,28,S Gilmor St,,,Baltimore,MD,Baltimore City,21223,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #4 STEUART HILL ELEM,29 S GILMOR ST,BALTIMORE,MD,21223,7,40,9,19-003,,39.287216,-76.642183,1,range_interpolation,29,S Gilmor St,,,Baltimore,MD,Baltimore City,21223,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #4 STEUART HILL ELEM,30 S GILMOR ST,BALTIMORE,MD,21223,7,40,9,20-002,3,39.287113,-76.642662,1,rooftop,30,S Gilmor St,,,Baltimore,MD,Baltimore City,21223,US,City of Baltimore (City of Baltimore)
SCHOOL #401 NORTHWESTERN SR HIGH,6898 PARK HEIGHTS AVE,BALTIMORE,MD,21215,7,41,5,02-706,,39.364726,-76.702798,1,range_interpolation,6898,Park Heights Ave,,,Baltimore,MD,Baltimore City,21215,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #401 NORTHWESTERN SR HIGH,6899 PARK HEIGHTS AVE,BALTIMORE,MD,21215,7,41,5,27-062,,39.364932,-76.70258,1,range_interpolation,6899,Park Heights Ave,,,Baltimore,MD,Baltimore City,21215,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #401 NORTHWESTERN SR HIGH,6900 PARK HEIGHTS AVE,BALTIMORE,MD,21215,7,41,5,27-066,3,39.364372,-76.70424,1,rooftop,6900,Park Heights Ave,,,Baltimore,MD,Baltimore City,21215,US,City of Baltimore (City of Baltimore)
SCHOOL #405  PATTERSON SR HIGH,100 KANE ST,BALTIMORE,MD,21224,2,46,1,26-004,1,39.292595,-76.536412,1,rooftop,100,Kane St,,,Baltimore,MD,Baltimore City,21224,US,City of Baltimore (City of Baltimore)
SCHOOL #406 FOREST PARK SENIOR HIGH,3701 ELDORADO AVE,BALTIMORE,MD,21207,7,41,6,15-002,1,39.332513,-76.689195,1,rooftop,3701,Eldorado Ave,,,Gwynn Oak,MD,Baltimore City,21207,US,City of Baltimore (City of Baltimore)
SCHOOL #407  WESTERN HIGH,4600 FALLS RD,BALTIMORE,MD,21209,3,41,6,27-043,1,39.347049,-76.642582,1,rooftop,4600,Falls Rd,,,Baltimore,MD,Baltimore City,21209,US,City of Baltimore (City of Baltimore)
SCHOOL #410 MERVO TECH HIGH,3499 HILLEN RD - ENTRANCE TIVOLY AVE,BALTIMORE,MD,21218,7,43,14,09-005,,39.335721,-76.588432,1,range_interpolation,3499,Hillen Rd,,,Baltimore,MD,Baltimore City,21218,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #410 MERVO TECH HIGH,3500 HILLEN RD - ENTRANCE TIVOLY AVE,BALTIMORE,MD,21218,7,43,14,09-006,2,39.332535,-76.591083,1,rooftop,3500,Hillen Rd,,,Baltimore,MD,Baltimore City,21218,US,City of Baltimore (City of Baltimore)
SCHOOL #414 PAUL DUNBAR HIGH SCH,1399 ORLEANS STREET - MAIN ENTRANCE,BALTIMORE,MD,21231,7,45,12,05-002,,39.29491,-76.598343,1,range_interpolation,1399,Orleans St,,,Baltimore,MD,Baltimore City,21231,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #414 PAUL DUNBAR HIGH SCH,1400 ORLEANS STREET - MAIN ENTRANCE,BALTIMORE,MD,21231,7,45,12,07-001,2,39.295301,-76.59873,1,rooftop,1400,Orleans St,,,Baltimore,MD,Baltimore City,21231,US,City of Baltimore (City of Baltimore)
SCHOOL #416 DIGITAL HARBOR HIGH,1100 COVINGTON ST,BALTIMORE,MD,21230,3,46,11,24-003,1,39.275501,-76.607073,1,rooftop,1100,Covington St,,,Baltimore,MD,Baltimore City,21230,US,City of Baltimore (City of Baltimore)
SCHOOL #422  NEW ERA SCHOOL,2700 SEAMON AVE,BALTIMORE,MD,21225,2,46,10,25-010,1,39.253241,-76.621063,1,rooftop,2700,Seamon Ave,,,Brooklyn,MD,Baltimore City,21225,US,City of Baltimore (City of Baltimore)
SCHOOL #44 MONTEBELLO ELEM,2040 E 32ND ST,BALTIMORE,MD,21218,7,43,14,09-007,1,39.327765,-76.585174,1,rooftop,2040,E 32nd St,,,Baltimore,MD,Baltimore City,21218,US,City of Baltimore (City of Baltimore)
SCHOOL #45 FEDERAL HILL ELEM,1040 WILLIAM ST,BALTIMORE,MD,21230,3,46,11,24-001,1,39.277526,-76.61127,1,rooftop,1040,William St,,,Baltimore,MD,Baltimore City,21230,US,City of Baltimore (City of Baltimore)
SCHOOL #450 FREDERICK DOUGLASS HIGH SCH,2301 GWYNNS FALLS PKWY,BALTIMORE,MD,21217,7,40,7,15-020,1,39.314807,-76.654794,1,rooftop,2301,Gwynns Falls Pkwy,,,Baltimore,MD,Baltimore City,21217,US,City of Baltimore (City of Baltimore)
SCHOOL #454 CARVER VOC-TECH HIGH,2200 PRESSTMAN ST,BALTIMORE,MD,21216,7,40,7,15-015,,39.305263,-76.652603,1,rooftop,2200,Presstman St,,,Baltimore,MD,Baltimore City,21216,US,City of Baltimore (City of Baltimore)
SCHOOL #454 CARVER VOC-TECH HIGH,2201 PRESSTMAN ST,BALTIMORE,MD,21216,7,40,7,15-016,2,39.3048,-76.652363,1,rooftop,2201,Presstman St,,,Baltimore,MD,Baltimore City,21216,US,City of Baltimore (City of Baltimore)
SCHOOL #47 HAMPSTEAD HILL ELEM,499 S LINWOOD AVE,BALTIMORE,MD,21224,3,46,1,01-001,,39.286081,-76.575981,0.9,nearest_rooftop_match,500,S Linwood Ave,,,Baltimore,MD,Baltimore City,21224,US,City of Baltimore (City of Baltimore)
SCHOOL #47 HAMPSTEAD HILL ELEM,500 S LINWOOD AVE,BALTIMORE,MD,21224,3,46,1,01-003,2,39.286081,-76.575981,1,rooftop,500,S Linwood Ave,,,Baltimore,MD,Baltimore City,21224,US,City of Baltimore (City of Baltimore)
SCHOOL #5  LANGSTON HUGHES ELEM,5011 ARBUTUS AVE,BALTIMORE,MD,21215,7,41,6,27-055,1,39.342219,-76.680042,1,rooftop,5011,Arbutus Ave,,,Baltimore,MD,Baltimore City,21215,US,City of Baltimore (City of Baltimore)
SCHOOL #51 WAVERLY ELEM,3399 ELLERSLIE AVE-ENTRANCE 34TH ST,BALTIMORE,MD,21218,7,43,14,09-003,,39.32989,-76.603471,1,range_interpolation,3399,Ellerslie Ave,,,Baltimore,MD,Baltimore City,21218,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #51 WAVERLY ELEM,3400 ELLERSLIE AVE-ENTRANCE 34TH ST,BALTIMORE,MD,21218,7,43,14,09-004,2,39.330211,-76.604221,1,rooftop,3400,Ellerslie Ave,,,Baltimore,MD,Baltimore City,21218,US,City of Baltimore (City of Baltimore)
SCHOOL #53 BRENT ELEM,99 E 26TH ST,BALTIMORE,MD,21218,7,43,12,12-008,,39.31927,-76.615699,1,range_interpolation,99,E 26th St,,,Baltimore,MD,Baltimore City,21218,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #53 BRENT ELEM,100 E 26TH ST,BALTIMORE,MD,21218,7,43,12,12-010,2,39.319749,-76.615134,1,rooftop,100,E 26th St,,,Baltimore,MD,Baltimore City,21218,US,City of Baltimore (City of Baltimore)
SCHOOL #54 BARCLAY ELEM,2899 BARCLAY ST,BALTIMORE,MD,21218,7,43,14,12-006,,39.323458,-76.610994,1,range_interpolation,2899,Barclay St,,,Baltimore,MD,Baltimore City,21218,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #54 BARCLAY ELEM,2900 BARCLAY ST,BALTIMORE,MD,21218,7,43,14,12-007,2,39.323689,-76.611366,1,rooftop,2900,Barclay St,,,Baltimore,MD,Baltimore City,21218,US,City of Baltimore (City of Baltimore)
SCHOOL #55 HAMPDEN ELEM,3606 CHESTNUT AVE,BALTIMORE,MD,21211,7,43,14,13-011,,39.331794,-76.6296,1,rooftop,3606,Chestnut Ave,,,Baltimore,MD,Baltimore City,21211,US,City of Baltimore (City of Baltimore)
SCHOOL #55 HAMPDEN ELEM,3607 CHESTNUT AVE,BALTIMORE,MD,21211,7,43,14,13-012,,39.331466,-76.629218,1,rooftop,3607,Chestnut Ave,,,Baltimore,MD,Baltimore City,21211,US,City of Baltimore (City of Baltimore)
SCHOOL #55 HAMPDEN ELEM,3608 CHESTNUT AVE,BALTIMORE,MD,21211,7,43,14,13-013,3,39.332097,-76.629893,1,rooftop,3608,Chestnut Ave,,,Baltimore,MD,Baltimore City,21211,US,City of Baltimore (City of Baltimore)
SCHOOL #58  ASHBURTON ELEM,3934 HILTON RD,BALTIMORE,MD,21215,7,40,6,15-004,,39.330556,-76.668477,1,range_interpolation,3934,Hilton Rd,,,Baltimore,MD,Baltimore City,21215,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #58  ASHBURTON ELEM,3935 HILTON RD,BALTIMORE,MD,21215,7,40,6,15-005,2,39.330953,-76.667594,1,rooftop,3935,Hilton Rd,,,Baltimore,MD,Baltimore City,21215,US,City of Baltimore (City of Baltimore)
SCHOOL #60 GWYNNS FALLS ELEM,2699 GWYNNS FALLS PKWY,BALTIMORE,MD,21216,7,40,7,15-006,,39.314727,-76.661728,1,range_interpolation,2699,Gwynns Falls Pkwy,,,Baltimore,MD,Baltimore City,21216,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #60 GWYNNS FALLS ELEM,2700 GWYNNS FALLS PKWY,BALTIMORE,MD,21216,7,40,7,15-014,2,39.314937,-76.663045,1,rooftop,2700,Gwynns Falls Pkwy,,,Baltimore,MD,Baltimore City,21216,US,City of Baltimore (City of Baltimore)
SCHOOL #61 DOROTHY HEIGHT ELEM,2011 LINDEN AVE,BALTIMORE,MD,21217,7,40,7,13-010,1,39.311731,-76.632291,1,rooftop,2011,Linden Ave,,,Baltimore,MD,Baltimore City,21217,US,City of Baltimore (City of Baltimore)
SCHOOL #62  EDGECOMBE CIRCLE ELEM,2835 VIRGINIA AVE,BALTIMORE,MD,21215,7,40,6,27-053,1,39.3447,-76.662689,1,rooftop,2835,Virginia Ave,,,Baltimore,MD,Baltimore City,21215,US,City of Baltimore (City of Baltimore)
SCHOOL #63 ROSEMONT ELEM,2777 PRESSTMAN ST,BALTIMORE,MD,21216,7,40,9,16-011,1,39.304467,-76.663125,1,rooftop,2777,Presstman St,,,Baltimore,MD,Baltimore City,21216,US,City of Baltimore (City of Baltimore)
SCHOOL #64 LIBERTY ELEM,3899 MAINE AVE,BALTIMORE,MD,21207,7,41,6,15-009,,39.326519,-76.683241,0.9,nearest_rooftop_match,3900,Maine Ave,,,Gwynn Oak,MD,Baltimore City,21207,US,City of Baltimore (City of Baltimore)
SCHOOL #64 LIBERTY ELEM,3900 MAINE AVE,BALTIMORE,MD,21207,7,41,6,28-007,,39.326519,-76.683241,1,rooftop,3900,Maine Ave,,,Gwynn Oak,MD,Baltimore City,21207,US,City of Baltimore (City of Baltimore)
SCHOOL #64 LIBERTY ELEM,3901 MAINE AVE,BALTIMORE,MD,21207,7,41,6,28-008,3,39.326052,-76.682914,1,rooftop,3901,Maine Ave,,,Gwynn Oak,MD,Baltimore City,21207,US,City of Baltimore (City of Baltimore)
SCHOOL #67  EDGEWOOD ELEM,1900 EDGEWOOD ST,BALTIMORE,MD,21216,7,41,7,15-011,1,39.309046,-76.676676,1,rooftop,1900,Edgewood St,,,Baltimore,MD,Baltimore City,21216,US,Statewide MD
SCHOOL #7 CECIL ELEM,1999 CECIL AVE,BALTIMORE,MD,21218,7,45,12,09-013,,39.312743,-76.605083,1,range_interpolation,1999,Cecil Ave,,,Baltimore,MD,Baltimore City,21218,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #7 CECIL ELEM,2000 CECIL AVE,BALTIMORE,MD,21218,7,45,12,09-014,2,39.313372,-76.605569,1,rooftop,2000,Cecil Ave,,,Baltimore,MD,Baltimore City,21218,US,City of Baltimore (City of Baltimore)
SCHOOL #73 SARAH M ROACH ELEM,3433 OLD FREDERICK RD,BALTIMORE,MD,21229,7,41,8,20-007,,39.281962,-76.674217,1,rooftop,3433,Old Frederick Rd,,,Baltimore,MD,Baltimore City,21229,US,City of Baltimore (City of Baltimore)
SCHOOL #73 SARAH M ROACH ELEM,3434 OLD FREDERICK RD,BALTIMORE,MD,21229,7,41,8,20-008,2,39.282659,-76.674592,1,rooftop,3434,Old Frederick Rd,,,Baltimore,MD,Baltimore City,21229,US,City of Baltimore (City of Baltimore)
SCHOOL #76 F SCOTT KEY ELEM,1425 E FORT AVE,BALTIMORE,MD,21230,3,46,11,24-005,1,39.269136,-76.594716,1,rooftop,1425,E Ft Ave,,,Baltimore,MD,Baltimore City,21230,US,City of Baltimore (City of Baltimore)
SCHOOL #8 CITY SPRINGS ELEM/MIDDLE,99 S CAROLINE ST,BALTIMORE,MD,21231,7,46,12,03-001,,39.290285,-76.596961,1,range_interpolation,99,S Caroline St,,,Baltimore,MD,Baltimore City,21231,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #8 CITY SPRINGS ELEM/MIDDLE,100 S CAROLINE ST,BALTIMORE,MD,21231,7,46,12,03-002,2,39.290092,-76.597281,1,rooftop,100,S Caroline St,,,Baltimore,MD,Baltimore City,21231,US,City of Baltimore (City of Baltimore)
SCHOOL #80 WEST BALTIMORE,201 NORTHBEND RD,BALTIMORE,MD,21229,7,44A,8,28-015,1,39.299921,-76.612535,0.56,nearest_rooftop_match,202,E Read St,,,Baltimore,MD,Baltimore City,21202,US,City of Baltimore (City of Baltimore)
SCHOOL #83 WM PACA ELEM,199 N LAKEWOOD AVE,BALTIMORE,MD,21224,7,46,13,06-001,,39.29453,-76.579021,1,range_interpolation,199,N Lakewood Ave,,,Baltimore,MD,Baltimore City,21224,US,TIGER/Line® dataset from the US Census Bureau
SCHOOL #83 WM PACA ELEM,200 N LAKEWOOD AVE,BALTIMORE,MD,21224,7,46,13,06-005,2,39.295192,-76.579415,1,rooftop,200,N Lakewood Ave,,,Baltimore,MD,Baltimore City,21224,US,City of Baltimore (City of Baltimore)
SCHOOL #85 FORT WORTHINGTON ELEM,2701 E OLIVER ST,BALTIMORE,MD,21213,7,45,13,08-010,1,39.307867,-76.578905,1,rooftop,2701,E Oliver St,,,Baltimore,MD,Baltimore City,21213,US,City of Baltimore (City of Baltimore)
SCHOOL #855   SUCCESS ACADEMY,2201 PINEWOOD AVE,BALTIMORE,MD,21214,7,43,3,27-015,1,39.366105,-76.570379,1,rooftop,2201,Pinewood Ave,,,Baltimore,MD,Baltimore City,21214,US,City of Baltimore (City of Baltimore)
SCHOOL #86 LAKEWOOD ELEM,2625 E FEDERAL ST,BALTIMORE,MD,21213,7,45,13,08-011,1,39.308834,-76.580921,1,rooftop,2625,E Federal St,,,Baltimore,MD,Baltimore City,21213,US,City of Baltimore (City of Baltimore)
SCHOOL #87 WINDSOR HILL ELEM,4001 ALTO RD,BALTIMORE,MD,21216,7,41,6,15-010,1,39.316515,-76.68312,1,rooftop,4001,Alto Rd,,,Baltimore,MD,Baltimore City,21216,US,City of Baltimore (City of Baltimore)
SCHOOL #88 WILDWOOD ELEMENTARY/MIDDLE,621 WILDWOOD PKWY,BALTIMORE,MD,21229,7,41,8,16-014,1,39.294973,-76.683575,1,rooftop,621,Wildwood Pkwy,,,Baltimore,MD,Baltimore City,21229,US,City of Baltimore (City of Baltimore)
SCHOOL #95 FRANKLIN SQ ELEM,1400 W LEXINGTON ST,BALTIMORE,MD,21223,7,44A,9,19-001,1,39.291181,-76.640681,1,rooftop,1400,W Lexington St,,,Baltimore,MD,Baltimore City,21223,US,City of Baltimore (City of Baltimore)
SCHOOL #98 SAMUEL F B MORSE ELEM,424 S PULASKI ST,BALTIMORE,MD,21223,7,40,9,20-011,1,39.281757,-76.65053,1,rooftop,424,S Pulaski St,,,Baltimore,MD,Baltimore City,21223,US,City of Baltimore (City of Baltimore)
SHILOH UNITED CHURCH APOSTOLIC,2000 DRUID PARK DRIVE,BALTIMORE,MD,21211,3,40,7,13-005,1,39.33309,-76.645354,1,rooftop,2000,Druid Park Dr,,,Baltimore,MD,Baltimore City,21211,US,City of Baltimore (City of Baltimore)
SOLO GIBBS REC CTR,1044 LEADENHALL ST AT CROSS ST,BALTIMORE,MD,21230,3,46,11,23-002,1,39.277166,-76.618106,1,rooftop,1044,Leadenhall St,,,Baltimore,MD,Baltimore City,21230,US,City of Baltimore (City of Baltimore)
SOUTH BALTIMORE LEARNING CTR,28 E OSTEND ST-ENTRANCE PATAPSCO ST,BALTIMORE,MD,21230,3,46,11,23-001,1,39.274908,-76.613148,1,rooftop,28,E Ostend St,,,Baltimore,MD,Baltimore City,21230,US,City of Baltimore (City of Baltimore)
SOUTHEAST ANCHOR LIBRARY,3601 EASTERN AVE,BALTIMORE,MD,21224,3,46,1,26-009,1,39.286448,-76.566677,1,rooftop,3601,Eastern Ave,,,Baltimore,MD,Baltimore City,21224,US,City of Baltimore (City of Baltimore)
ST BERNARDINES CHURCH HALL,614 MT HOLLY ST,BALTIMORE,MD,21229,7,41,8,16-013,1,39.294114,-76.679952,1,range_interpolation,614,Mt Holly St,,,Baltimore,MD,Baltimore City,21229,US,TIGER/Line® dataset from the US Census Bureau
ST DAVIDS CHURCH,4700 ROLAND AVE,BALTIMORE,MD,21210,3,41,6,27-045,1,39.34811,-76.63627,1,rooftop,4700,Roland Ave,,,Baltimore,MD,Baltimore City,21210,US,City of Baltimore (City of Baltimore)
ST HELENA COMMUNITY ASSOC,6509 COLGATE AVE,BALTIMORE,MD,21222,2,46,1,26-001,1,39.260541,-76.531529,1,rooftop,6509,Colgate Ave,,,Dundalk,MD,Baltimore City,21222,US,City of Baltimore (City of Baltimore)
ST LEOS CHURCH HALL,225 S EXETER ST,BALTIMORE,MD,21202,3,46,1,03-003,1,39.287227,-76.600929,1,rooftop,225,S Exeter St,,,Baltimore,MD,Baltimore City,21202,US,City of Baltimore (City of Baltimore)
ST MARYS CHURCH OF GOVANS,5502 YORK RD,BALTIMORE,MD,21212,3,43,4,27-039,1,39.357334,-76.610357,1,rooftop,5502,York Rd,,,Baltimore,MD,Baltimore City,21212,US,City of Baltimore (City of Baltimore)
ST NICHOLAS CHURCH HALL,519 S PONCA ST - REAR,BALTIMORE,MD,21224,3,46,1,26-006,,39.286921,-76.554823,1,range_interpolation,519,S Ponca St,,,Baltimore,MD,Baltimore City,21224,US,TIGER/Line® dataset from the US Census Bureau
ST NICHOLAS CHURCH HALL,520 S PONCA ST - REAR,BALTIMORE,MD,21224,3,46,1,26-007,2,39.286886,-76.555121,1,range_interpolation,520,S Ponca St,,,Baltimore,MD,Baltimore City,21224,US,TIGER/Line® dataset from the US Census Bureau
STEADMAN FIRE STATION,15 S EUTAW ST,BALTIMORE,MD,21201,7,40,11,04-002,1,39.287794,-76.620589,1,rooftop,15,S Eutaw St,,,Baltimore,MD,Baltimore City,21201,US,City of Baltimore (City of Baltimore)
THE ELLERSLIE,601 WYANOKE AVE,BALTIMORE,MD,21218,7,43,4,09-002,1,39.336883,-76.606933,1,rooftop,601,Wyanoke Ave,,,Baltimore,MD,Baltimore City,21218,US,City of Baltimore (City of Baltimore)
THE GREENMOUNT SCHOOL,501 W 30TH ST,BALTIMORE,MD,21211,7,43,14,12-003,1,39.32181,-76.625359,1,rooftop,501,W 30th St,,,Baltimore,MD,Baltimore City,21211,US,City of Baltimore (City of Baltimore)
THE LEAGUE FOR PEOPLE WITH DISABILITIES,1110 E COLDSPRING LANE,BALTIMORE,MD,21239,7,43,3,27-026,,39.356356,-76.587588,0.5,place,,,,,Baltimore,MD,Baltimore City,21239,US,TIGER/Line® dataset from the US Census Bureau
THE LEAGUE FOR PEOPLE WITH DISABILITIES,1111 E COLDSPRING LANE,BALTIMORE,MD,21239,7,43,3,27-027,2,39.356356,-76.587588,0.5,place,,,,,Baltimore,MD,Baltimore City,21239,US,TIGER/Line® dataset from the US Census Bureau
THE MARYLAND STATE BOYS CHOIR CENTER FOR THE ARTS,3397 NORMAN AVENUE,BALTIMORE,MD,21213,3,45,3,08-001,,39.326432,-76.580208,1,range_interpolation,3397,Norman Ave,,,Baltimore,MD,Baltimore City,21213,US,TIGER/Line® dataset from the US Census Bureau
THE MARYLAND STATE BOYS CHOIR CENTER FOR THE ARTS,3398 NORMAN AVENUE,BALTIMORE,MD,21213,3,45,3,08-002,,39.326977,-76.579635,1,range_interpolation,3398,Norman Ave,,,Baltimore,MD,Baltimore City,21213,US,TIGER/Line® dataset from the US Census Bureau
THE MARYLAND STATE BOYS CHOIR CENTER FOR THE ARTS,3399 NORMAN AVENUE,BALTIMORE,MD,21213,3,45,3,08-008,,39.326441,-76.580201,1,range_interpolation,3399,Norman Ave,,,Baltimore,MD,Baltimore City,21213,US,TIGER/Line® dataset from the US Census Bureau
THE MARYLAND STATE BOYS CHOIR CENTER FOR THE ARTS,3400 NORMAN AVENUE,BALTIMORE,MD,21213,3,45,3,08-009,4,39.327371,-76.578927,1,rooftop,3400,Norman Ave,,,Baltimore,MD,Baltimore City,21213,US,City of Baltimore (City of Baltimore)
VOTING MACHINE WAREHOUSE,301 N FRANKLINTOWN RD,BALTIMORE,MD,21223,7,44A,9,20-004,1,39.292153,-76.661509,1,rooftop,301,N Franklintown Rd,,,Baltimore,MD,Baltimore City,21223,US,City of Baltimore (City of Baltimore)
WAR MEMORIAL BUILDING,101 N GAY ST ENTER ON LEXINGTON,BALTIMORE,MD,21202,7,46,11,04-001,1,39.290964,-76.60867,1,rooftop,101,N Gay St,,,Baltimore,MD,Baltimore City,21202,US,City of Baltimore (City of Baltimore)
WAXTER CENTER,1000 CATHEDRAL ST,BALTIMORE,MD,21201,7,45,12,11-007,1,39.301067,-76.617976,1,rooftop,1000,Cathedral St,,,Baltimore,MD,Baltimore City,21201,US,City of Baltimore (City of Baltimore)
WESTSIDE SKILL CENTER,4501 EDMONDSON AVE-REAR OF BLDG-ENTER ON ATHOL AVE,BALTIMORE,MD,21229,7,44A,8,28-013,1,39.293136,-76.691046,1,rooftop,4501,Edmondson Ave,Bldg,ENTER,Baltimore,MD,Baltimore City,21229,US,City of Baltimore (City of Baltimore)
WOODHOME REC CTR,7310 MOYER AVE,BALTIMORE,MD,21234,3,45,3,27-011,1,39.367672,-76.539198,1,range_interpolation,7310,Moyer Ave,,,Parkville,MD,Baltimore City,21234,US,TIGER/Line® dataset from the US Census Bureau
WYMAN HOUSE,123 W 29TH ST,BALTIMORE,MD,21218,7,43,12,12-009,1,39.322921,-76.619832,1,rooftop,123,W 29th St,,,Baltimore,MD,Baltimore City,21218,US,City of Baltimore (City of Baltimore)