01001-SCHOOL #47 HAMPSTEAD HILL,"500 S LINWOOD AVE,",991,183,3,10,1,0,298,9,1495
ACAD,"BALTIMORE, MD 21224",,,,,,,,,
01002-ENGINE HOUSE #5,"2120 EASTERN AVE,",1301,233,7,6,1,0,408,18,1974
"","BALTIMORE, MD 21231",,,,,,,,,
01003-SCHOOL #47 HAMPSTEAD HILL,"500 S LINWOOD AVE,",947,276,0,9,1,0,362,10,1605
ACAD,"BALTIMORE, MD 21224",,,,,,,,,
01004-ENOCH PRATT FREE LIBRARY,"1030 S ELLWOOD AVE,",1278,474,3,16,1,1,512,15,2300
CANTON BRANCH,"BALTIMORE, MD 21224",,,,,,,,,
01005-HATTON SENIOR CITIZEN CTR,"2825 FAIT  AVE,",1661,597,7,17,1,1,615,11,2910
"","BALTIMORE, MD 21224",,,,,,,,,
02001-SCHOOL #23 GENERAL WOLFE,"245 S WOLFE ST,",804,98,1,3,0,2,207,4,1119
ELEM,"BALTIMORE, MD 21231",,,,,,,,,
02002-SCHOOL #23 GENERAL WOLFE,"245 S WOLFE ST,",1101,208,9,12,2,1,307,7,1647
ELEM,"BALTIMORE, MD 21231",,,,,,,,,
02003-LEMKO HOUSE,"603 S ANN ST, BALTIMORE,",1510,382,7,9,2,1,601,17,2529
"",MD 21231,,,,,,,,,
03001-SCHOOL #8 CITY SPRINGS,"100 S CAROLINE ST,",839,71,1,2,1,2,155,17,1088
ELEM/MIDDLE,"BALTIMORE, MD 21231",,,,,,,,,
03002-SCHOOL #8 CITY SPRINGS,"100 S CAROLINE ST,",509,63,4,3,1,0,136,32,748
ELEM/MIDDLE,"BALTIMORE, MD 21231",,,,,,,,,
03003-ST LEOS CHURCH HALL,"225 S EXETER ST,",1349,306,3,8,1,1,490,20,2178
"","BALTIMORE, MD 21202",,,,,,,,,
04001-WAR MEMORIAL BUILDING,101 N GAY STREET (ENTER,972,121,2,7,0,0,330,17,1449
"","ON LEXINGTON ST),",,,,,,,,,
"","BALTIMORE, MD 21202",,,,,,,,,
04002-STEADMAN FIRE STATION,"15 S EUTAW ST,",1802,189,7,10,4,3,582,25,2622
"","BALTIMORE, MD 21201",,,,,,,,,
04003-MURTY CTR-POE AUDITORIUM,"206 N FREMONT AVE,",453,15,1,0,0,0,48,5,522
"","BALTIMORE, MD 21201",,,,,,,,,
05001-PLEASANT VIEW GARDEN,"201 N AISQUITH ST,",1041,80,0,1,2,0,148,19,1291
APARTMENTS,"BALTIMORE, MD 21202",,,,,,,,,
05002-SCHOOL #414 PAUL DUNBAR HIGH,1400 ORLEANS STREET -,105,3,0,0,0,0,20,3,131
SCH,"MAIN ENTRANCE,",,,,,,,,,
"","BALTIMORE, MD 21231",,,,,,,,,
06001-SCHOOL #83 WM PACA ELEM,"200 N LAKEWOOD AVE,",942,63,2,4,4,0,157,27,1199
"","BALTIMORE, MD 21224",,,,,,,,,
06002-SCHOOL #27 RODGERS,"100 N CHESTER ST,",569,47,3,2,0,0,111,10,742
COMMODORE ELEM,"BALTIMORE, MD 21231",,,,,,,,,
06003-SCHOOL #27 RODGERS,"100 N CHESTER ST,",397,20,0,0,0,0,54,7,478
COMMODORE ELEM,"BALTIMORE, MD 21231",,,,,,,,,
06004-SCHOOL #27 RODGERS,"100 N CHESTER ST,",848,76,3,1,1,1,236,5,1171
COMMODORE ELEM,"BALTIMORE, MD 21231",,,,,,,,,
06005-SCHOOL #83 WM PACA ELEM,"200 N LAKEWOOD AVE,",1910,192,5,9,1,1,465,18,2601
"","BALTIMORE, MD 21224",,,,,,,,,
07001-SCHOOL #414 PAUL DUNBAR HIGH,1400 ORLEANS STREET -,872,41,4,0,0,0,117,13,1047
SCH,"MAIN ENTRANCE,",,,,,,,,,
"","BALTIMORE, MD 21231",,,,,,,,,
07002-SCHOOL #13 TENCH TILGHMAN,600 N PATTERSON PARK,245,20,1,0,0,0,54,1,321
ELEM,"AVE, BALTIMORE, MD",,,,,,,,,
"",21205,,,,,,,,,
07003-SCHOOL #13 TENCH TILGHMAN,600 N PATTERSON PARK,1690,73,7,3,4,0,242,29,2048
ELEM,"AVE, BALTIMORE, MD",,,,,,,,,
"",21205,,,,,,,,,
07004-LIGHTHOUSE WORSHIP CENTER,"2931 E MADISON ST,",1626,88,4,1,5,1,254,21,2000
"","BALTIMORE, MD 21205",,,,,,,,,
08001-THE MARYLAND STATE BOYS CHOIR,"3400 NORMAN AVENUE,",71,6,0,0,0,0,4,0,81
CENTER FOR THE ARTS,"BALTIMORE, MD 21213",,,,,,,,,
08002-THE MARYLAND STATE BOYS CHOIR,"3400 NORMAN AVENUE,",1188,59,7,2,1,0,143,20,1420
CENTER FOR THE ARTS,"BALTIMORE, MD 21213",,,,,,,,,
08003-CATHOLIC HIGH SCHOOL,"2800 EDISON HWY,",1335,70,4,3,1,0,189,19,1621
"","BALTIMORE, MD 21213",,,,,,,,,
08004-SCHOOL #37 HARFORD HTS,2050 N WOLFE ST (NEW,307,21,1,0,0,0,41,5,375
PRIMARY,"ENTRANCE), BALTIMORE,",,,,,,,,,
"",MD 21213,,,,,,,,,
08005-SCHOOL #37 HARFORD HTS,2050 N WOLFE ST (NEW,1230,52,3,1,2,0,130,14,1432
PRIMARY,"ENTRANCE), BALTIMORE,",,,,,,,,,
"",MD 21213,,,,,,,,,
08006-SCHOOL #250 DR. BERNARD,"1400 N CAROLINE ST,",1743,77,5,3,1,0,216,34,2079
HARRIS SR ELEM,"BALTIMORE, MD 21213",,,,,,,,,
08007-COLLINGTON SQUARE RECREATION,"1409 N COLLINGTON AVE,",1210,46,2,1,3,0,130,16,1408
CENTER,"BALTIMORE, MD 21213",,,,,,,,,
08008-THE MARYLAND STATE BOYS CHOIR,"3400 NORMAN AVENUE,",723,83,2,1,0,0,109,6,924
CENTER FOR THE ARTS,"BALTIMORE, MD 21213",,,,,,,,,
08009-THE MARYLAND STATE BOYS CHOIR,"3400 NORMAN AVENUE,",57,2,0,0,0,0,11,1,71
CENTER FOR THE ARTS,"BALTIMORE, MD 21213",,,,,,,,,
08010-SCHOOL #85 FT WORTHINGTON,"2701 E OLIVER ST,",2328,77,7,1,6,1,229,19,2668
ELEM,"BALTIMORE, MD 21213",,,,,,,,,
08011-SCHOOL #86 LAKEWOOD ELEM,"2625 E FEDERAL ST,",390,27,2,2,1,0,52,2,476
"","BALTIMORE, MD 21213",,,,,,,,,
09001-CHURCH OF THE REDEEMED,"4321 OLD YORK RD,",579,20,1,2,1,0,86,8,697
"","BALTIMORE, MD 21212",,,,,,,,,
09002-THE ELLERSLIE,"601 WYANOKE AVE,",749,34,4,4,1,1,124,4,921
"","BALTIMORE, MD 21218",,,,,,,,,
09003-SCHOOL #51 WAVERLY ELEM,3400 ELLERSLIE AVE-,1070,49,3,3,3,2,147,13,1290
"","ENTRANCE 34TH ST,",,,,,,,,,
"","BALTIMORE, MD 21218",,,,,,,,,
09004-SCHOOL #51 WAVERLY ELEM,3400 ELLERSLIE AVE-,1809,70,7,4,2,1,209,13,2115
"","ENTRANCE 34TH ST,",,,,,,,,,
"","BALTIMORE, MD 21218",,,,,,,,,
09005-SCHOOL #410 MERVO TECH HIGH,3500 HILLEN RD -,1390,74,5,1,1,0,150,14,1635
"","ENTRANCE TIVOLY AVE,",,,,,,,,,
"","BALTIMORE, MD 21218",,,,,,,,,
09006-SCHOOL #410 MERVO TECH HIGH,3500 HILLEN RD -,1630,55,4,2,1,0,171,19,1882
"","ENTRANCE TIVOLY AVE,",,,,,,,,,
"","BALTIMORE, MD 21218",,,,,,,,,
09007-SCHOOL #44 MONTEBELLO ELEM,"2040 E 32ND ST,",1402,58,8,6,0,0,167,20,1661
"","BALTIMORE, MD 21218",,,,,,,,,
09008-REACH PARTNERSHIP - COMMUNITY,"2555 HARFORD ROAD,",1053,35,2,1,1,1,122,16,1231
SPACE,"BALTIMORE, MD 21218",,,,,,,,,
09009-SCHOOL #15 STADIUM SCHOOL,"1400 EXETER HALL AVE,",673,34,1,0,0,0,117,8,833
"","BALTIMORE, MD 21218",,,,,,,,,
09010-ENGINE HOUSE #31,"3123 GREENMOUNT AVE,",961,34,7,2,4,0,125,9,1142
"","BALTIMORE, MD 21218",,,,,,,,,
09011-SCHOOL #15 STADIUM SCHOOL,"1400 EXETER HALL AVE,",239,12,0,0,0,0,31,4,286
"","BALTIMORE, MD 21218",,,,,,,,,
09012-REACH PARTNERSHIP - COMMUNITY,"2555 HARFORD ROAD,",1179,45,2,1,2,0,136,19,1384
SPACE,"BALTIMORE, MD 21218",,,,,,,,,
09013-SCHOOL #7 CECIL ELEM,"2000 CECIL AVE,",390,17,1,0,0,0,38,10,456
"","BALTIMORE, MD 21218",,,,,,,,,
09014-SCHOOL #7 CECIL ELEM,"2000 CECIL AVE,",1129,45,2,5,3,0,161,17,1362
"","BALTIMORE, MD 21218",,,,,,,,,
09015-DAWSON SAFE HAVEN TEEN,"1400 E FEDERAL ST,",1305,58,3,3,3,0,179,28,1579
CENTER,"BALTIMORE, MD 21213",,,,,,,,,
10001-SCHOOL #16 JOHNSTON SQ ELEM,"1101 VALLEY ST,",885,26,3,2,1,0,90,14,1021
"","BALTIMORE, MD 21202",,,,,,,,,
10002-NEW WATERS TOWER APARTMENTS,"1400 E MADISON ST,",927,31,0,1,0,0,90,9,1058
"","BALTIMORE, MD 21205",,,,,,,,,
10003-LATROBE HOMES,"900 E MADISON ST,",452,28,1,1,2,0,80,11,575
"","BALTIMORE, MD 21202",,,,,,,,,
10004-SCHOOL #16 JOHNSTON SQ ELEM,"1101 VALLEY ST,",493,21,0,1,0,0,61,8,584
"","BALTIMORE, MD 21202",,,,,,,,,
11001-CHASE HOUSE,"1027 CATHEDRAL ST,",1165,63,5,3,1,3,267,14,1521
"","BALTIMORE, MD 21201",,,,,,,,,
11002-CHASE HOUSE,"1027 CATHEDRAL ST,",366,18,1,1,0,2,75,5,468
"","BALTIMORE, MD 21201",,,,,,,,,
11003-BROWN MEMORIAL CHURCH,"1316 PARK AVENUE,",1136,77,8,3,1,1,211,8,1445
"","BALTIMORE, MD 21217",,,,,,,,,
11004-SCHOOL #122 SAMUEL COLERIDGE-,507 W PRESTON ST -,63,5,0,0,0,0,7,2,77
TAYLOR ELEM,ENTER ON DRUID HILL,,,,,,,,,
"","AVE, BALTIMORE, MD",,,,,,,,,
"",21201,,,,,,,,,
11005-CHASE HOUSE,"1027 CATHEDRAL ST,",1235,57,6,6,1,2,198,10,1515
"","BALTIMORE, MD 21201",,,,,,,,,
11006-ENOCH PRATT FREE LIBRARY,"400 CATHEDRAL ST,",1785,143,6,6,0,2,414,14,2370
CENTRAL BRANCH,"BALTIMORE, MD 21201",,,,,,,,,
11007-WAXTER CENTER,"1000 CATHEDRAL ST,",969,80,10,6,4,3,264,13,1349
"","BALTIMORE, MD 21201",,,,,,,,,
12001-1ST ENGLISH LUTHERAN CHURCH,"3807 N CHARLES ST,",1958,218,4,5,1,2,399,18,2605
"","BALTIMORE, MD 21218",,,,,,,,,
12002-1ST ENGLISH LUTHERAN CHURCH,"3807 N CHARLES ST,",199,35,0,2,0,0,33,2,271
"","BALTIMORE, MD 21218",,,,,,,,,
12003-THE GREENMOUNT SCHOOL,"501 W 30TH ST,",497,33,2,2,0,0,117,1,652
"","BALTIMORE, MD 21211",,,,,,,,,
12004-ENOCH PRATT FREE LIBRARY,"400 E 33RD ST,",943,85,5,10,0,0,293,6,1342
WAVERLY BRANCH,"BALTIMORE, MD 21218",,,,,,,,,
12005-ENOCH PRATT FREE LIBRARY,"400 E 33RD ST,",916,39,12,4,0,1,169,8,1149
WAVERLY BRANCH,"BALTIMORE, MD 21218",,,,,,,,,
12006-SCHOOL #54 BARCLAY ELEM,"2900 BARCLAY ST,",611,35,6,1,0,2,132,6,793
"","BALTIMORE, MD 21218",,,,,,,,,
12007-SCHOOL #54 BARCLAY ELEM,"2900 BARCLAY ST,",1192,52,7,1,1,5,174,10,1442
"","BALTIMORE, MD 21218",,,,,,,,,
12008-SCHOOL #53 BRENT ELEM,"100 E 26TH ST,",1014,61,12,4,4,0,201,8,1304
"","BALTIMORE, MD 21218",,,,,,,,,
12009-WYMAN HOUSE,"123 W 29TH ST,",1368,133,7,1,3,2,298,16,1828
"","BALTIMORE, MD 21218",,,,,,,,,
12010-SCHOOL #53 BRENT ELEM,"100 E 26TH ST,",1240,79,7,2,5,2,225,24,1584
"","BALTIMORE, MD 21218",,,,,,,,,
12011-SCHOOL #39 DALLAS F. NICHOLAS,"201 E 21ST ST,",827,38,3,1,3,0,139,12,1023
SR ELEM,"BALTIMORE, MD 21218",,,,,,,,,
12012-BALTO MONTESSORI PUBLIC,"1600 GUILFORD AVE,",1292,45,7,8,4,3,259,12,1630
CHARTER SCH 336,"BALTIMORE, MD 21202",,,,,,,,,
13001-KESWICK MULTI-CARE CTR,"700 W 40TH ST,",1009,80,2,3,0,0,175,3,1272
"","BALTIMORE, MD 21211",,,,,,,,,
13002-ENGINE HOUSE #21,"3724 ROLAND AVE,",895,114,5,7,0,0,168,11,1200
"","BALTIMORE, MD 21211",,,,,,,,,
13003-ROOSEVELT RECREATION CENTER,"1221 W 36TH STREET,",1561,197,13,13,2,5,385,17,2193
"","BALTIMORE, MD 21211",,,,,,,,,
13004-MEDFIELD HEIGHTS RECREATION,"1501 WOODHEIGHTS AVE,",753,155,7,4,2,1,209,13,1144
CENTER,"BALTIMORE, MD 21211",,,,,,,,,
13005-SHILOH UNITED CHURCH,"2000 DRUID PARK DRIVE,",642,76,5,5,0,2,171,5,906
APOSTOLIC,"BALTIMORE, MD 21211",,,,,,,,,
13006-ENGINE HOUSE #52,"3525 WOODBROOK AVE,",474,18,0,1,0,0,93,2,588
"","BALTIMORE, MD 21217",,,,,,,,,
13007-PARKVIEW RECREATION CENTER,"2610 FRANCIS STREET,",1052,43,0,3,4,1,139,19,1261
"","BALTIMORE, MD 21217",,,,,,,,,
13008-BETH AM IN TOWN SYNAGOGUE,"2501 EUTAW PL,",1343,50,5,5,2,1,186,18,1610
"","BALTIMORE, MD 21217",,,,,,,,,
13009-LAKEVIEW TOWERS,727 DRUID PARK LAKE,963,29,2,4,2,0,120,13,1133
"","DRIVE, BALTIMORE, MD",,,,,,,,,
"",21217,,,,,,,,,
13010-SCHOOL #61 DOROTHY HEIGHT,"2011 LINDEN AVENUE,",1163,46,3,4,3,1,184,11,1415
ELEM,"BALTIMORE, MD 21217",,,,,,,,,
13011-SCHOOL #55 HAMPDEN ELEM,"3608 CHESTNUT AVE,",1593,184,13,9,0,1,336,11,2147
"","BALTIMORE, MD 21211",,,,,,,,,
13012-SCHOOL #55 HAMPDEN ELEM,"3608 CHESTNUT AVE,",1168,129,7,3,1,5,228,12,1553
"","BALTIMORE, MD 21211",,,,,,,,,
13013-SCHOOL #55 HAMPDEN ELEM,"3608 CHESTNUT AVE,",81,8,1,1,0,0,9,0,100
"","BALTIMORE, MD 21211",,,,,,,,,
14001-MT ROYAL RECREATION CTR,"120 W MOSHER ST,",696,35,3,2,1,0,113,4,854
"","BALTIMORE, MD 21217",,,,,,,,,
14002-MT ROYAL RECREATION CTR,"120 W MOSHER ST,",703,22,4,1,0,1,107,4,842
"","BALTIMORE, MD 21217",,,,,,,,,
14003-ENGINE HOUSE #13,"405 MCMECHEN ST,",629,31,2,1,0,0,95,8,766
"","BALTIMORE, MD 21217",,,,,,,,,
14004-SCHOOL #11 EUTAW-MARSHBURN,"1624 EUTAW PL,",1884,84,7,4,4,1,237,26,2247
ELEM,"BALTIMORE, MD 21217",,,,,,,,,
14005-ENOCH PRATT FREE LIBRARY,"1531 W NORTH AVE ,",342,22,0,0,0,0,46,0,410
PENNSYLVANIA AVE BRANCH,"BALTIMORE, MD 21217",,,,,,,,,
15001-SCHOOL #177 GEORGE MCMECHEN,"4411 GARRISON BLVD,",1226,39,2,2,0,0,138,14,1421
JR/SR,"BALTIMORE, MD 21215",,,,,,,,,
15002-SCHOOL #406 FOREST PARK,3701 ELDORADO AVE,736,24,0,1,2,1,77,7,848
SENIOR  HIGH,"(ENTER ON BELLE AVE),",,,,,,,,,
"","BALTIMORE, MD 21207",,,,,,,,,
15003-SCHOOL #251 CALLAWAY ELEM,"3701 FERNHILL AVE,",1953,62,0,3,1,0,205,17,2241
"","BALTIMORE, MD 21215",,,,,,,,,
15004-SCHOOL #58  ASHBURTON ELEM,"3935 HILTON RD,",661,26,1,3,3,0,67,4,765
"","BALTIMORE, MD 21215",,,,,,,,,
15005-SCHOOL #58  ASHBURTON ELEM,"3935 HILTON RD,",1029,37,0,1,1,0,129,6,1203
"","BALTIMORE, MD 21215",,,,,,,,,
15006-SCHOOL #60 GWYNNS FALLS ELEM,2700 GWYNNS FALLS,1466,42,2,4,0,0,148,24,1686
"","PKWY, BALTIMORE, MD",,,,,,,,,
"",21216,,,,,,,,,
15007-SCHOOL #21 HILTON ELEM,"3301 CARLISLE AVE,",1181,51,0,4,0,1,150,13,1400
"","BALTIMORE, MD 21216",,,,,,,,,
15008-LIBERTY GRACE CHURCH OF GOD,"3400 COPLEY RD,",583,20,0,0,0,0,66,6,675
"","BALTIMORE, MD 21215",,,,,,,,,
15009-SCHOOL #64 LIBERTY ELEM,"3901 MAINE AVE,",2151,85,3,5,1,1,228,24,2498
"","BALTIMORE, MD 21207",,,,,,,,,
15010-SCHOOL #87 WINDSOR HILL ELEM,"4001 ALTO RD,",1152,50,2,2,1,2,141,15,1365
"","BALTIMORE, MD 21216",,,,,,,,,
15011-SCHOOL #67  EDGEWOOD ELEM,"1900 EDGEWOOD ST,",1021,36,1,3,1,1,153,15,1231
"","BALTIMORE, MD 21216",,,,,,,,,
15012-ENOCH PRATT FREE LIBRARY,"3203 W NORTH AVE,",220,6,0,1,1,0,34,4,266
WALBROOK BRANCH,"BALTIMORE, MD 21216",,,,,,,,,
15013-ENOCH PRATT FREE LIBRARY,"3203 W NORTH AVE,",613,25,1,2,0,0,69,3,713
WALBROOK BRANCH,"BALTIMORE, MD 21216",,,,,,,,,
15014-SCHOOL #60 GWYNNS FALLS ELEM,2700 GWYNNS FALLS,1137,31,0,6,1,1,119,9,1304
"","PKWY, BALTIMORE, MD",,,,,,,,,
"",21216,,,,,,,,,
15015-SCHOOL #454 CARVER VOC-TECH,"2201 PRESSTMAN ST,",615,23,2,0,1,0,71,7,719
HIGH,"BALTIMORE, MD 21216",,,,,,,,,
15016-SCHOOL #454 CARVER VOC-TECH,"2201 PRESSTMAN ST,",591,18,2,0,2,0,67,5,685
HIGH,"BALTIMORE, MD 21216",,,,,,,,,
15017-SCHOOL #29 MATTHEW HENSON,"1600 N PAYSON ST,",1237,52,0,2,0,1,165,14,1471
ELEM,"BALTIMORE, MD 21217",,,,,,,,,
15018-LILLIAN JONES RECREATION,"1310 N STRICKER STREET,",2065,82,5,2,5,1,279,26,2465
CENTER,"BALTIMORE, MD 21217",,,,,,,,,
15019-SCHOOL #28 SANDTOWN-,"701 GOLD ST, BALTIMORE,",68,2,0,0,0,0,6,0,76
WINCHESTER ACHIEVEMENT ACAD,MD 21217,,,,,,,,,
15020-SCHOOL #450 FREDERICK,2301 GWYNNS FALLS,1850,73,0,4,2,2,230,18,2179
DOUGLAS,"PKWY, BALTIMORE, MD",,,,,,,,,
"",21217,,,,,,,,,
15021-ENGINE HOUSE #52,"3525 WOODBROOK AVE,",916,32,2,2,1,0,106,9,1068
"","BALTIMORE, MD 21217",,,,,,,,,
15022-MONTE VERDE APARTMENTS,"2503 VIOLET AVE,",996,48,1,1,1,0,120,16,1183
"","BALTIMORE, MD 21215",,,,,,,,,
15023-SCHOOL #254 DR MARTIN L KING,"3750 GREENSPRING AVE,",1367,55,3,2,5,0,157,11,1600
JR ELEM,"BALTIMORE, MD 21211",,,,,,,,,
15024-CREATIVE CITY PUBLIC CHARTER,"2810 SHIRLEY AVENUE,",1457,62,3,3,6,0,162,20,1713
SCH #384,"BALTIMORE, MD 21215",,,,,,,,,
15025-CREATIVE CITY PUBLIC CHARTER,"2810 SHIRLEY AVENUE,",628,31,2,0,0,0,90,4,755
SCH #384,"BALTIMORE, MD 21215",,,,,,,,,
16001-HARLEM PARK RECREATION CENTER,"700 N CALHOUN STREET,",594,22,1,0,0,0,67,10,694
"","BALTIMORE, MD 21217",,,,,,,,,
16002-HARLEM PARK RECREATION CENTER,"700 N CALHOUN STREET,",915,43,0,3,1,0,107,11,1080
"","BALTIMORE, MD 21217",,,,,,,,,
16003-HARLEM PARK RECREATION CENTER,"700 N CALHOUN STREET,",625,21,1,4,1,1,66,10,729
"","BALTIMORE, MD 21217",,,,,,,,,
16004-HARLEM PARK RECREATION CENTER,"700 N CALHOUN STREET,",381,27,1,0,0,0,63,7,479
"","BALTIMORE, MD 21217",,,,,,,,,
16005-LILLIAN JONES RECREATION,"1310 N STRICKER STREET,",1284,66,0,1,5,0,158,19,1533
CENTER,"BALTIMORE, MD 21217",,,,,,,,,
16006-SCHOOL #262 EMPOWERMENT,"851 BRADDISH AVENUE,",1320,55,2,3,2,0,133,11,1526
ACAD,"BALTIMORE, MD 21216",,,,,,,,,
16007-EMPOWERMENT ACADEMY ELEM,"851 BRADDISH AVE,",1116,34,2,1,1,0,108,8,1270
SCH 262,"BALTIMORE, MD 21216",,,,,,,,,
16008-EMPOWERMENT ACADEMY ELEM,"851 BRADDISH AVE,",736,26,0,0,2,0,64,12,840
SCH 262,"BALTIMORE, MD 21216",,,,,,,,,
16009-SCHOOL #145 HAMILTON ELEM,"800 POPLAR GROVE ST,",1090,50,4,1,2,0,123,13,1283
"","BALTIMORE, MD 21216",,,,,,,,,
16010-SCHOOL #262 EMPOWERMENT,"851 BRADDISH AVENUE,",668,22,0,0,2,0,82,6,780
ACAD,"BALTIMORE, MD 21216",,,,,,,,,
16011-SCHOOL #63 ROSEMONT ELEM,"2777 PRESSTMAN ST,",536,29,0,1,1,1,62,8,638
"","BALTIMORE, MD 21216",,,,,,,,,
16012-SCHOOL #217 BELMONT ELEM,"1406 N ELLAMONT ST,",1255,49,1,2,2,1,141,21,1472
"","BALTIMORE, MD 21216",,,,,,,,,
16013-ST BERNARDINES CHURCH HALL,"614 MT HOLLY ST,",1342,44,2,0,0,0,160,16,1564
"","BALTIMORE, MD 21229",,,,,,,,,
16014-SCHOOL #88 WILDWOOD,"621 WILDWOOD PKWY,",2466,83,2,6,2,2,236,19,2816
ELEM/MIDDLE,"BALTIMORE, MD 21229",,,,,,,,,
17001-SCHOOL #122 SAMUEL COLERIDGE-,507 W PRESTON ST -,139,5,1,0,0,0,25,4,174
TAYLOR ELEM,ENTER ON DRUID HILL,,,,,,,,,
"","AVE, BALTIMORE, MD",,,,,,,,,
"",21201,,,,,,,,,
17002-SCHOOL #122 SAMUEL COLERIDGE-,507 W PRESTON ST -,2205,103,4,6,8,2,293,29,2650
TAYLOR ELEM,ENTER ON DRUID HILL,,,,,,,,,
"","AVE, BALTIMORE, MD",,,,,,,,,
"",21201,,,,,,,,,
18001-SCHOOL #178 FRANCIS M. WOOD,"1001 W SARATOGA ST,",791,33,1,1,0,1,98,10,935
ALTERNATIVE HIGH,"BALTIMORE, MD 21223",,,,,,,,,
18002-SCHOOL #10 MCHENRY ELEM,"31 S SCHROEDER ST,",1287,102,8,3,2,0,265,13,1680
"","BALTIMORE, MD 21223",,,,,,,,,
19001-SCHOOL #95 FRANKLIN SQ ELEM,"1400 W LEXINGTON ST,",971,35,1,1,1,0,114,14,1137
"","BALTIMORE, MD 21223",,,,,,,,,
19002-SCHOOL #4 STEUART HILL,"30 S GILMOR ST,",1265,153,7,5,4,1,318,25,1778
ACADEMIC ACADEMY,"BALTIMORE, MD 21223",,,,,,,,,
19003-SCHOOL #4 STEUART HILL,"30 S GILMOR ST,",149,9,0,0,0,0,23,2,183
ACADEMIC ACADEMY,"BALTIMORE, MD 21223",,,,,,,,,
20001-SCHOOL #150  MARY ANN,"220 N BENTALOU ST,",1225,46,0,0,0,0,136,15,1422
WINTERLING ELEM,"BALTIMORE, MD 21223",,,,,,,,,
20002-SCHOOL #4 STEUART HILL,"30 S GILMOR ST,",495,22,0,1,1,0,104,14,637
ACADEMIC ACADEMY,"BALTIMORE, MD 21223",,,,,,,,,
20003-SCHOOL #260 FREDERICK ELEM,"2501 FREDERICK AVENUE,",1397,51,0,2,3,1,145,13,1612
"","BALTIMORE, MD 21223",,,,,,,,,
20004-VOTING MACHINE WAREHOUSE,"301 N FRANKLINTOWN RD,",177,9,0,0,0,0,19,2,207
"","BALTIMORE, MD 21223",,,,,,,,,
20005-HILTON REC CTR,"2950 PHELPS LN,",786,28,1,1,1,0,102,8,927
"","BALTIMORE, MD 21229",,,,,,,,,
20006-MARY E RODMAN REC CTR,"3600 W MULBERRY ST,",2497,71,3,6,2,1,260,26,2866
"","BALTIMORE, MD 21229",,,,,,,,,
20007-SCHOOL #73 SARAH M ROACH,"3434 OLD FREDERICK RD,",1645,83,0,3,1,1,215,20,1968
ELEM,"BALTIMORE, MD 21229",,,,,,,,,
20008-SCHOOL #73 SARAH M ROACH,"3434 OLD FREDERICK RD,",521,32,2,3,3,1,83,8,653
ELEM,"BALTIMORE, MD 21229",,,,,,,,,
20009-SCHOOL #260 FREDERICK ELEM,"2501 FREDERICK AVENUE,",408,76,5,3,0,0,110,13,615
"","BALTIMORE, MD 21223",,,,,,,,,
20010-SCHOOL #260 FREDERICK ELEM,"2501 FREDERICK AVENUE,",340,45,1,0,1,0,83,6,476
