"",TOTAL
PRECINCT 01001,1427
PRECINCT 01002,1895
PRECINCT 01003,1617
PRECINCT 01004,2310
PRECINCT 01005,2785
PRECINCT 02001,1061
PRECINCT 02002,1636
PRECINCT 02003,2578
PRECINCT 03001,905
PRECINCT 03002,797
PRECINCT 03003,2304
PRECINCT 04001,1911
PRECINCT 04002,2287
PRECINCT 04003,506
PRECINCT 05001,1263
PRECINCT 05002,211
PRECINCT 06001,64
PRECINCT 06002,1796
PRECINCT 06003,494
PRECINCT 06004,1094
PRECINCT 06005,2485
PRECINCT 07001,995
PRECINCT 07002,318
PRECINCT 07003,1980
PRECINCT 07004,1874
PRECINCT 08001,77
PRECINCT 08002,1407
PRECINCT 08003,1544
PRECINCT 08004,338
PRECINCT 08005,1409
PRECINCT 08006,2065
PRECINCT 08007,1332
PRECINCT 08008,906
"",TOTAL
PRECINCT 08009,69
PRECINCT 08010,2573
PRECINCT 08011,431
PRECINCT 09001,641
PRECINCT 09002,978
PRECINCT 09003,1304
PRECINCT 09004,2103
PRECINCT 09005,1618
PRECINCT 09006,2351
PRECINCT 09007,1134
PRECINCT 09008,1579
PRECINCT 09009,829
PRECINCT 09010,1141
PRECINCT 09011,293
PRECINCT 09012,993
PRECINCT 09013,808
PRECINCT 09014,911
PRECINCT 09015,1599
PRECINCT 10001,981
PRECINCT 10002,1074
PRECINCT 10003,513
PRECINCT 10004,574
PRECINCT 11001,1431
PRECINCT 11002,462
PRECINCT 11003,1340
PRECINCT 11004,63
PRECINCT 11005,1985
PRECINCT 11006,1754
PRECINCT 11007,1352
PRECINCT 12001,2556
PRECINCT 12002,272
PRECINCT 12003,618
PRECINCT 12004,1328
"",TOTAL
PRECINCT 12005,1099
PRECINCT 12006,819
PRECINCT 12007,1401
PRECINCT 12008,2904
PRECINCT 12009,214
PRECINCT 12010,1839
PRECINCT 12011,618
PRECINCT 12012,1707
PRECINCT 13001,883
PRECINCT 13002,1623
PRECINCT 13003,689
PRECINCT 13004,2620
PRECINCT 13005,928
PRECINCT 13006,596
PRECINCT 13007,1189
PRECINCT 13008,1559
PRECINCT 13009,1124
PRECINCT 13010,1428
PRECINCT 13011,2401
PRECINCT 13012,1208
PRECINCT 14001,880
PRECINCT 14002,817
PRECINCT 14003,744
PRECINCT 14004,2174
PRECINCT 14005,446
PRECINCT 15001,1425
PRECINCT 15002,805
PRECINCT 15003,1957
PRECINCT 15004,1026
PRECINCT 15005,1176
PRECINCT 15006,1655
PRECINCT 15007,1371
PRECINCT 15008,672
"",TOTAL
PRECINCT 15009,2556
PRECINCT 15010,1274
PRECINCT 15011,1189
PRECINCT 15012,241
PRECINCT 15013,677
PRECINCT 15014,1275
PRECINCT 15015,685
PRECINCT 15016,693
PRECINCT 15017,1423
PRECINCT 15018,2350
PRECINCT 15019,70
PRECINCT 15020,2050
PRECINCT 15021,1060
PRECINCT 15022,1201
PRECINCT 15023,1570
PRECINCT 15024,1747
PRECINCT 15025,750
PRECINCT 16001,624
PRECINCT 16002,1054
PRECINCT 16003,724
PRECINCT 16004,477
PRECINCT 16005,1458
PRECINCT 16006,1503
PRECINCT 16007,1289
PRECINCT 16008,753
PRECINCT 16009,1238
PRECINCT 16010,766
PRECINCT 16011,588
PRECINCT 16012,1416
PRECINCT 16013,1495
PRECINCT 16014,2747
PRECINCT 17001,184
PRECINCT 17002,2651
"",TOTAL
PRECINCT 18001,982
PRECINCT 18002,1631
PRECINCT 19001,1122
PRECINCT 19002,1782
PRECINCT 19003,186
PRECINCT 20001,1343
PRECINCT 20002,577
PRECINCT 20003,1530
PRECINCT 20004,189
PRECINCT 20005,922
PRECINCT 20006,2781
PRECINCT 20007,1917
PRECINCT 20008,642
PRECINCT 20009,608
PRECINCT 20010,501
PRECINCT 20011,1202
PRECINCT 21001,826
PRECINCT 21002,1376
PRECINCT 21003,1877
PRECINCT 21004,335
PRECINCT 22001,1266
PRECINCT 22002,1443
PRECINCT 23001,1390
PRECINCT 23002,1132
PRECINCT 23003,2132
PRECINCT 24001,663
PRECINCT 24002,806
PRECINCT 24003,1706
PRECINCT 24004,2460
PRECINCT 24005,3778
PRECINCT 25001,2765
PRECINCT 25002,1928
PRECINCT 25003,882
"",TOTAL
PRECINCT 25004,2228
PRECINCT 25005,1758
PRECINCT 25006,850
PRECINCT 25007,398
PRECINCT 25008,2120
PRECINCT 25009,1133
PRECINCT 25010,1194
PRECINCT 25011,586
PRECINCT 25012,1127
PRECINCT 25013,736
PRECINCT 25014,1040
PRECINCT 25015,1060
PRECINCT 25016,1495
PRECINCT 25017,1395
PRECINCT 26001,280
PRECINCT 26002,1503
PRECINCT 26003,1193
PRECINCT 26004,782
PRECINCT 26005,424
PRECINCT 26006,862
PRECINCT 26007,1350
PRECINCT 26008,1684
PRECINCT 26009,2894
PRECINCT 26010,1856
PRECINCT 26011,904
PRECINCT 26012,400
PRECINCT 26013,760
PRECINCT 26014,737
PRECINCT 26015,1521
PRECINCT 26016,1208
PRECINCT 26017,577
PRECINCT 26018,1026
PRECINCT 26019,1379
"",TOTAL
PRECINCT 26020,728
PRECINCT 26021,897
PRECINCT 26022,727
PRECINCT 26023,1106
PRECINCT 26024,2017
PRECINCT 26025,1479
PRECINCT 26026,1723
PRECINCT 26027,1324
PRECINCT 26028,1128
PRECINCT 26029,3929
PRECINCT 26030,946
PRECINCT 26031,789
PRECINCT 26032,1703
PRECINCT 26033,1504
PRECINCT 27001,2174
PRECINCT 27002,607
PRECINCT 27003,700
PRECINCT 27004,567
PRECINCT 27005,2368
PRECINCT 27006,3020
PRECINCT 27007,1215
PRECINCT 27008,2439
PRECINCT 27009,1474
PRECINCT 27010,727
PRECINCT 27011,2437
PRECINCT 27012,616
PRECINCT 27013,2623
PRECINCT 27014,2533
PRECINCT 27015,1997
PRECINCT 27016,712
PRECINCT 27017,1460
PRECINCT 27018,1665
PRECINCT 27019,1190
"",TOTAL
PRECINCT 27020,2345
PRECINCT 27021,1874
PRECINCT 27022,2468
PRECINCT 27023,554
PRECINCT 27024,581
PRECINCT 27025,1209
PRECINCT 27026,785
PRECINCT 27027,1610
PRECINCT 27028,1226
PRECINCT 27029,894
PRECINCT 27030,1383
PRECINCT 27031,2181
PRECINCT 27032,2340
PRECINCT 27033,2242
PRECINCT 27034,1783
PRECINCT 27035,2820
PRECINCT 27036,948
PRECINCT 27037,1864
PRECINCT 27038,253
PRECINCT 27039,439
PRECINCT 27040,2201
PRECINCT 27041,1224
PRECINCT 27042,1718
PRECINCT 27043,796
PRECINCT 27044,1194
PRECINCT 27045,1761
PRECINCT 27046,735
PRECINCT 27047,1274
PRECINCT 27048,1011
PRECINCT 27049,3053
PRECINCT 27050,1169
PRECINCT 27051,198
PRECINCT 27052,2494
"",TOTAL
PRECINCT 27053,1503
PRECINCT 27054,850
PRECINCT 27055,358
PRECINCT 27056,905
PRECINCT 27057,1879
PRECINCT 27058,637
PRECINCT 27059,886
PRECINCT 27060,1563
PRECINCT 27061,745
PRECINCT 27062,1899
PRECINCT 27063,1942
PRECINCT 27064,1898
PRECINCT 27065,2974
PRECINCT 27066,2473
PRECINCT 27067,2041
PRECINCT 27069,141
PRECINCT 28001,1239
PRECINCT 28002,2051
PRECINCT 28003,445
PRECINCT 28004,672
PRECINCT 28005,1588
PRECINCT 28006,2363
PRECINCT 28007,1145
PRECINCT 28008,1475
PRECINCT 28009,1905
PRECINCT 28010,1932
PRECINCT 28011,1924
PRECINCT 28012,1411
PRECINCT 28013,1349
PRECINCT 28014,564
PRECINCT 28015,1737
