t Dist/Prec & Polling Place,,Polling Place Address,DEM,REP,GRN,LIB,UNA,OTHERS,TOTAL
09015-DAWSON CENTER,"1400 E FEDERAL ST,",1422,53,4,6,133,6,,1624
,"BALTIMORE, MD 21213",,,,,,,,
10001-SCHOOL #16 JOHNSTON SQ ELEM,"1101 VALLEY ST,",919,26,2,2,70,7,,1026
,"BALTIMORE, MD 21202",,,,,,,,
10002-NEW WATERS TOWER APARTMENTS,"1400 E MADISON ST,",1043,30,0,2,67,5,,1147
,"BALTIMORE, MD 21205",,,,,,,,
10003-LATROBE HOMES,"900 E MADISON ST,",437,26,4,1,62,5,,535
,"BALTIMORE, MD 21202",,,,,,,,
10004-SCHOOL #16 JOHNSTON SQ ELEM,"1101 VALLEY ST,",498,27,1,0,48,1,,575
,"BALTIMORE, MD 21202",,,,,,,,
11001-CHASE HOUSE,"1027 CATHEDRAL ST,",944,95,14,9,236,6,,1304
,"BALTIMORE, MD 21201",,,,,,,,
11002-CHASE HOUSE,"1027 CATHEDRAL ST,",314,27,2,2,75,7,,427
,"BALTIMORE, MD 21201",,,,,,,,
11003-BROWN MEMORIAL CHURCH,"1316 PARK AVENUE,",1117,77,12,4,204,7,,1421
,"BALTIMORE, MD 21217",,,,,,,,
11004-SCHOOL #122 - SAMUEL,507 W PRESTON ST -,61,1,0,0,1,0,,63
COLERIDGE-TAYLOR ELEM,ENTER ON DRUID HILL,,,,,,,,
,"AVE, BALTIMORE, MD",,,,,,,,
,21201,,,,,,,,
11005-CHASE HOUSE,"1027 CATHEDRAL ST,",1069,73,4,6,171,9,,1332
,"BALTIMORE, MD 21201",,,,,,,,
11006-ENOCH PRATT FREE LIBRARY,"400 CATHEDRAL ST,",1587,160,9,14,399,14,,2183
CENTRAL BRANCH,"BALTIMORE, MD 21201",,,,,,,,
11007-WAXTER CENTER,"1000 CATHEDRAL ST,",889,87,7,14,269,7,,1273
,"BALTIMORE, MD 21201",,,,,,,,
12002-1ST ENGLISH LUTHERAN CHURCH,"3807 N CHARLES ST,",161,49,2,2,29,1,,244
,"BALTIMORE, MD 21218",,,,,,,,
12003-THE GREENMOUNT SCHOOL,"501 W 30TH ST,",510,39,6,3,124,2,,684
,"BALTIMORE, MD 21211",,,,,,,,
12004-ENOCH PRATT FREE LIBRARY,"400 E 33RD ST,",988,91,11,10,314,3,,1417
WAVERLY BRANCH,"BALTIMORE, MD 21218",,,,,,,,
12005-ENOCH PRATT FREE LIBRARY,"400 E 33RD ST,",786,47,17,8,175,3,,1036
WAVERLY BRANCH,"BALTIMORE, MD 21218",,,,,,,,
12006-SCHOOL #54 BARCLAY ELEM,"2900 BARCLAY ST,",536,43,13,6,154,6,,758
,"BALTIMORE, MD 21218",,,,,,,,
12007-SCHOOL #54 BARCLAY ELEM,"2900 BARCLAY ST,",1087,46,15,4,150,2,,1304
,"BALTIMORE, MD 21218",,,,,,,,
12008-SCHOOL #53 BRENT ELEM,"100 E 26TH ST,",951,54,22,9,196,5,,1237
,"BALTIMORE, MD 21218",,,,,,,,
12009-WYMAN HOUSE,"123 W 29TH ST,",1115,139,18,8,241,19,,1540
,"BALTIMORE, MD 21218",,,,,,,,
12010-SCHOOL #53 BRENT ELEM,"100 E 26TH ST,",1148,71,12,3,157,5,,1396
,"BALTIMORE, MD 21218",,,,,,,,
12011-SCHOOL #39 DALLAS F. NICHOLAS,"201 E 21ST ST,",772,39,4,2,112,4,,933
SR ELEM,"BALTIMORE, MD 21218",,,,,,,,
12012-BALTO MONTESSORI PUBLIC,"1600 GUILFORD AVE,",1092,49,6,5,190,5,,1347
CHARTER SCH 336,"BALTIMORE, MD 21202",,,,,,,,
13006-ENGINE HOUSE #52,"3525 WOODBROOK AVE,",505,19,3,3,63,1,,594
,"BALTIMORE, MD 21217",,,,,,,,
13007-SCHOOL #24 WESTSIDE ELEM,"2235 N FULTON AVE,",1180,47,2,1,117,7,,1354
,"BALTIMORE, MD 21217",,,,,,,,
13008-BETH AM IN TOWN SYNAGOGUE,"2501 EUTAW PL,",1426,54,9,7,141,4,,1641
,"BALTIMORE, MD 21217",,,,,,,,
13009-BETH AM IN TOWN SYNAGOGUE,"2501 EUTAW PL,",915,34,5,4,101,3,,1062
,"BALTIMORE, MD 21217",,,,,,,,
13010-RESERVOIR HILL IMPROVEMENT,"2001 PARK AVE,",1220,54,5,2,160,7,,1448
COUNCIL,"BALTIMORE, MD 21217",,,,,,,,
13011-SCHOOL #55 HAMPDEN ELEM,"3608 CHESTNUT AVE,",1249,198,19,9,346,12,,1833
,"BALTIMORE, MD 21211",,,,,,,,
13013-SCHOOL #55 HAMPDEN ELEM,"3608 CHESTNUT AVE,",59,12,1,1,15,0,,88
,"BALTIMORE, MD 21211",,,,,,,,
14001-MT ROYAL RECREATION CTR,"120 W MOSHER ST,",648,36,3,7,117,3,,814
,"BALTIMORE, MD 21217",,,,,,,,
14002-MT ROYAL RECREATION CTR,"120 W MOSHER ST,",626,25,5,3,81,6,,746
,"BALTIMORE, MD 21217",,,,,,,,
14003-ENGINE HOUSE #13,"405 MCMECHEN ST,",660,23,3,2,79,4,,771
,"BALTIMORE, MD 21217",,,,,,,,
14004-SCHOOL #11 EUTAW-MARSHBURN,"1624 EUTAW PL,",1862,87,7,5,178,11,,2150
ELEM,"BALTIMORE, MD 21217",,,,,,,,
14005-ENOCH PRATT FREE LIBRARY,1531 W NORTH AVE AT,403,23,0,1,24,1,,452
PENNSYLVANIA AVE BRANCH,"PENNS, BALTIMORE, MD",,,,,,,,
,21217,,,,,,,,
15001-SCHOOL #177 GEORGE MCMECHEN,"4411 GARRISON BLVD,",1239,36,4,1,93,3,,1376
JR/SR,"BALTIMORE, MD 21215",,,,,,,,
15002-SCHOOL #42 GARRISON MIDDLE,3910 BARRINGTON RD -,747,22,0,2,61,3,,835
,REAR OF BLDG - ENT ON,,,,,,,,
,"GARRISON, BALTIMORE,",,,,,,,,
,MD 21207,,,,,,,,
15003-SCHOOL #251 CALLAWAY ELEM,"3701 FERNHILL AVE,",2017,55,2,6,162,4,,2246
,"BALTIMORE, MD 21215",,,,,,,,
15004-SCHOOL #58  ASHBURTON ELEM,"3935 HILTON RD,",646,34,1,2,57,2,,742
,"BALTIMORE, MD 21215",,,,,,,,
15005-SCHOOL #58  ASHBURTON ELEM,"3935 HILTON RD,",1032,29,1,1,85,4,,1152
,"BALTIMORE, MD 21215",,,,,,,,
15006-SCHOOL #60 GWYNNS FALLS ELEM,2700 GWYNNS FALLS,1470,42,2,1,129,8,,1652
,"PKWY, BALTIMORE, MD",,,,,,,,
,21216,,,,,,,,
15007-SCHOOL #21 HILTON ELEM,"3301 CARLISLE AVE,",1173,31,0,5,88,6,,1303
,"BALTIMORE, MD 21216",,,,,,,,
15008-LIBERTY GRACE CHURCH OF GOD,"3400 COPLEY RD,",563,19,0,0,46,3,,631
,"BALTIMORE, MD 21215",,,,,,,,
15009-SCHOOL #64 LIBERTY ELEM,"3901 MAINE AVE,",2217,61,10,5,178,7,,2478
,"BALTIMORE, MD 21207",,,,,,,,
15010-SCHOOL #87 WINDSOR HILL ELEM,"4001 ALTO RD,",1086,47,2,3,112,5,,1255
,"BALTIMORE, MD 21216",,,,,,,,
15011-SCHOOL #67  EDGEWOOD ELEM,"1900 EDGEWOOD ST,",1056,38,3,1,113,7,,1218
,"BALTIMORE, MD 21216",,,,,,,,
15012-ENOCH PRATT FREE LIBRARY,"3203 W NORTH AVE,",234,6,0,1,28,1,,270
WALBROOK BRANCH,"BALTIMORE, MD 21216",,,,,,,,
15013-ENOCH PRATT FREE LIBRARY,"3203 W NORTH AVE,",616,27,1,2,47,1,,694
WALBROOK BRANCH,"BALTIMORE, MD 21216",,,,,,,,
15014-SCHOOL #60 GWYNNS FALLS ELEM,2700 GWYNNS FALLS,1114,34,0,4,78,1,,1231
,"PKWY, BALTIMORE, MD",,,,,,,,
,21216,,,,,,,,
15015-SCHOOL #454 CARVER VOC-TECH,"2201 PRESSTMAN ST,",640,24,3,0,50,2,,719
HIGH,"BALTIMORE, MD 21216",,,,,,,,
15016-SCHOOL #454 CARVER VOC-TECH,"2201 PRESSTMAN ST,",666,18,1,1,64,1,,751
HIGH,"BALTIMORE, MD 21216",,,,,,,,
15017-SCHOOL #29 HENSON ELEM,"1600 N PAYSON ST,",1377,42,4,2,125,5,,1555
,"BALTIMORE, MD 21217",,,,,,,,
15018-SCHOOL #107 GILMOR ELEM,"1300 N STRICKER ST,",2353,86,5,2,179,14,,2639
,"BALTIMORE, MD 21217",,,,,,,,
15019-SCHOOL #28 WILLIAM,"701 GOLD ST, BALTIMORE,",79,2,0,0,7,1,,89
PINDERHUGHES ELEM,MD 21217,,,,,,,,
15020-SCHOOL #142 COLEMAN ELEM,"2400 WINDSOR AVE,",1955,74,2,3,185,9,,2228
,"BALTIMORE, MD 21216",,,,,,,,
15021-ENGINE HOUSE #52,"3525 WOODBROOK AVE,",865,34,3,3,83,2,,990
,"BALTIMORE, MD 21217",,,,,,,,
15022-MONTE VERDE APARTMENTS,"2503 VIOLET AVE,",1088,44,1,3,100,2,,1238
,"BALTIMORE, MD 21215",,,,,,,,
15023-SCHOOL #254 DR MARTIN L KING,"3750 GREENSPRING AVE,",1381,56,1,6,116,8,,1568
JR ELEM,"BALTIMORE, MD 21211",,,,,,,,
15024-TOWANDA RECREATION CENTER,"4100 TOWANDA AVENUE,",1489,57,7,1,114,4,,1672
,"BALTIMORE, MD 21215",,,,,,,,
15025-TOWANDA RECREATION CENTER,"4100 TOWANDA AVENUE,",667,25,2,0,57,0,,751
,"BALTIMORE, MD 21215",,,,,,,,
16001-SCHOOL #35 HARLEM PARK ELEM,"801 N STRICKER ST,",659,22,2,1,57,1,,742
SCH,"BALTIMORE, MD 21217",,,,,,,,
16002-SCHOOL #35 HARLEM PARK ELEM,"801 N STRICKER ST,",1023,49,0,0,99,4,,1175
SCH,"BALTIMORE, MD 21217",,,,,,,,
16003-SCHOOL #35 HARLEM PARK ELEM,"801 N STRICKER ST,",692,26,1,2,65,3,,789
SCH,"BALTIMORE, MD 21217",,,,,,,,
16004-SCHOOL #35 HARLEM PARK ELEM,"801 N STRICKER ST,",448,27,1,1,50,3,,530
SCH,"BALTIMORE, MD 21217",,,,,,,,
16005-SCHOOL #107 GILMOR ELEM,"1300 N STRICKER ST,",1407,59,1,0,118,9,,1594
,"BALTIMORE, MD 21217",,,,,,,,
16006-SCHOOL #75 FRIENDSHIP,"1100 WHITMORE AVE,",1348,59,4,1,112,6,,1530
PREPARATORY ACADEMY,"BALTIMORE, MD 21216",,,,,,,,
16007-EMPOWERMENT ACADEMY ELEM,"851 BRADDISH AVE,",1175,40,1,2,94,3,,1315
SCH 262,"BALTIMORE, MD 21216",,,,,,,,
16008-EMPOWERMENT ACADEMY ELEM,"851 BRADDISH AVE,",773,30,1,0,55,5,,864
SCH 262,"BALTIMORE, MD 21216",,,,,,,,
16009-SCHOOL #145 HAMILTON ELEM,"800 POPLAR GROVE ST,",1190,51,2,1,122,6,,1372
,"BALTIMORE, MD 21216",,,,,,,,
16010-SCHOOL #144 JAMES MOSHER,"2400 MOSHER ST,",748,27,0,1,67,0,,843
ELEM,"BALTIMORE, MD 21216",,,,,,,,
16011-SCHOOL #63 ROSEMONT ELEM,"2777 PRESSTMAN ST,",556,27,1,1,48,0,,633
,"BALTIMORE, MD 21216",,,,,,,,
16012-SCHOOL #217 BELMONT ELEM,"1406 N ELLAMONT ST,",1440,55,1,5,115,10,,1626
,"BALTIMORE, MD 21216",,,,,,,,
16013-ST BERNARDINES CHURCH HALL,"614 MT HOLLY ST,",1429,53,4,0,104,6,,1596
,"BALTIMORE, MD 21229",,,,,,,,
16014-WESTSIDE SKILL CENTER,4501 EDMONDSON AVE -,2532,85,2,5,179,7,,2810
,"REAR OF BLDG.,",,,,,,,,
,"BALTIMORE, MD 21229",,,,,,,,
17001-SCHOOL #122 - SAMUEL,507 W PRESTON ST -,144,7,0,0,18,1,,170
COLERIDGE-TAYLOR ELEM,ENTER ON DRUID HILL,,,,,,,,
,"AVE, BALTIMORE, MD",,,,,,,,
,21201,,,,,,,,
17002-SCHOOL #122 - SAMUEL,507 W PRESTON ST -,2114,82,12,6,206,9,,2429
COLERIDGE-TAYLOR ELEM,ENTER ON DRUID HILL,,,,,,,,
,"AVE, BALTIMORE, MD",,,,,,,,
,21201,,,,,,,,
18001-SCHOOL #178 FRANCIS M. WOOD,"1001 W SARATOGA ST,",815,38,4,1,74,4,,936
ALTERNATIVE HIGH,"BALTIMORE, MD 21223",,,,,,,,
18002-SCHOOL #10 MCHENRY ELEM,"31 S SCHROEDER ST,",1239,100,16,7,228,12,,1602
,"BALTIMORE, MD 21223",,,,,,,,
19001-SCHOOL #95 FRANKLIN SQ ELEM,"1400 W LEXINGTON ST,",1081,29,1,1,84,5,,1201
,"BALTIMORE, MD 21223",,,,,,,,
19002-SCHOOL #4 STEUART HILL ELEM,"30 S GILMOR ST,",1338,156,11,2,286,11,,1804
,"BALTIMORE, MD 21223",,,,,,,,
19003-SCHOOL #4 STEUART HILL ELEM,"30 S GILMOR ST,",136,8,0,1,17,1,,163
,"BALTIMORE, MD 21223",,,,,,,,
20001-SCHOOL #150  MARY ANN,"220 N BENTALOU ST,",1236,42,2,2,117,6,,1405
WINTERLING ELEM,"BALTIMORE, MD 21223",,,,,,,,
20002-SCHOOL #4 STEUART HILL ELEM,"30 S GILMOR ST,",569,34,0,2,60,5,,670
,"BALTIMORE, MD 21223",,,,,,,,
20003-ACADEMY OF SUCCESS,"525 HURLEY AVE,",1561,64,1,2,105,4,,1737
,"BALTIMORE, MD 21223",,,,,,,,
20004-VOTING MACHINE WAREHOUSE,"301 N FRANKLINTOWN RD,",199,8,0,0,14,1,,222
,"BALTIMORE, MD 21223",,,,,,,,
20005-HILTON REC CTR,"2950 PHELPS LN,",847,26,2,2,85,1,,963
,"BALTIMORE, MD 21229",,,,,,,,
20006-MARY E RODMAN REC CTR,"3600 W MULBERRY ST,",2595,68,4,4,204,16,,2891
,"BALTIMORE, MD 21229",,,,,,,,
20007-SCHOOL #73 SARAH M ROACH,"3434 OLD FREDERICK RD,",1674,81,4,5,156,6,,1926
ELEM,"BALTIMORE, MD 21229",,,,,,,,
20008-SCHOOL #73 SARAH M ROACH,"3434 OLD FREDERICK RD,",502,30,2,1,60,5,,600
ELEM,"BALTIMORE, MD 21229",,,,,,,,
20009-ACADEMY OF SUCCESS,"525 HURLEY AVE,",430,66,4,5,106,4,,615
,"BALTIMORE, MD 21223",,,,,,,,
20010-ACADEMY OF SUCCESS,"525 HURLEY AVE,",316,48,1,1,60,5,,431
,"BALTIMORE, MD 21223",,,,,,,,
20011-SCHOOL #98 SAMUEL F B MORSE,"424 S PULASKI ST,",1071,100,9,7,186,10,,1383
ELEM,"BALTIMORE, MD 21223",,,,,,,,
21002-SCHOOL #22 GEORGE,"800 SCOTT ST,",980,129,3,7,240,8,,1367
WASHINGTON ELEM,"BALTIMORE, MD 21230",,,,,,,,
22001-CHRIST CHURCH HARBOR APTS.,"600 LIGHT STREET,",597,146,3,3,152,9,,910
INC.,"BALTIMORE, MD 21230",,,,,,,,
25001-SCHOOL #246 BEECHFIELD ELEM,"301 S BEECHFIELD AVE,",2211,135,4,7,249,10,,2616
,"BALTIMORE, MD 21229",,,,,,,,
25002-SCHOOL #246 BEECHFIELD ELEM,"301 S BEECHFIELD AVE,",1607,68,9,9,159,14,,1866
,"BALTIMORE, MD 21229",,,,,,,,
25017-SCHOOL #226 VIOLETVILLE,"1207 PINE HGTS AVE,",217,48,0,1,56,1,,323
ELEM/MID,"BALTIMORE, MD 21229",,,,,,,,
25018-SCHOOL #226 VIOLETVILLE,"1207 PINE HGTS AVE,",166,34,1,0,24,0,,225
ELEM/MID,"BALTIMORE, MD 21229",,,,,,,,
26012-ENGINE HOUSE #51,"646 N HIGHLAND AVE,",444,38,1,1,47,3,,534
,"BALTIMORE, MD 21205",,,,,,,,
26019-ENOCH PRATT FREE LIBRARY,"3801 ERDMAN AVE,",1191,40,1,4,115,3,,1354
HERRING RUN BRANCH,"BALTIMORE, MD 21213",,,,,,,,
26020-SCHOOL #231 BREHMS LANE ELEM,"3536 BREHMS LN,",601,28,0,0,62,1,,692
,"BALTIMORE, MD 21213",,,,,,,,
27014-SCHOOL #236  HAMILTON,"6101 OLD  HARFORD RD,",1684,305,13,11,314,15,,2342
ELEM/MID,"BALTIMORE, MD 21214",,,,,,,,
27015-SCHOOL #855SUCCESS ACADEMY,"2201 PINEWOOD AVE,",1640,114,6,4,173,3,,1940
,"BALTIMORE, MD 21214",,,,,,,,
27016-SCHOOL #212 GARRETT HGTS ELEM,"2800 AILSA AVE,",485,57,5,1,99,2,,649
,"BALTIMORE, MD 21214",,,,,,,,
27017-SCHOOL #212 GARRETT HGTS ELEM,"2800 AILSA AVE,",924,79,3,1,123,4,,1134
,"BALTIMORE, MD 21214",,,,,,,,
27018-ENGINE HOUSE #42,"4522 HARFORD RD,",1607,130,14,11,225,11,,1998
,"BALTIMORE, MD 21214",,,,,,,,
27019-SCHOOL #219 YORKWOOD ELEM,"5931 YORKWOOD RD,",642,29,2,0,60,0,,733
,"BALTIMORE, MD 21239",,,,,,,,
27021-SCHOOL #219 YORKWOOD ELEM,"5931 YORKWOOD RD,",1995,78,3,8,194,7,,2285
,"BALTIMORE, MD 21239",,,,,,,,
27022-SCHOOL #242 NORTHWOOD ELEM,"5201 LOCH RAVEN BLVD,",2302,68,3,6,164,10,,2553
,"BALTIMORE, MD 21239",,,,,,,,
27023-SCHOOL #242 NORTHWOOD ELEM,"5201 LOCH RAVEN BLVD,",520,14,0,0,48,1,,583
,"BALTIMORE, MD 21239",,,,,,,,
27024-SCHOOL #242 NORTHWOOD ELEM,"5201 LOCH RAVEN BLVD,",550,17,0,1,42,1,,611
,"BALTIMORE, MD 21239",,,,,,,,
27025-NORTHWOOD APPOLD COMM,"4417 LOCH RAVEN BLVD,",1102,41,2,3,91,3,,1242
ACADEMY,"BALTIMORE, MD 21218",,,,,,,,
27026-THE LEAGUE FOR PEOPLE WITH,1111 E COLDSPRING,767,29,7,0,89,0,,892
DISABILITIES,"LANE, BALTIMORE, MD",,,,,,,,
,21239,,,,,,,,
27027-THE LEAGUE FOR PEOPLE WITH,1111 E COLDSPRING,1422,33,5,4,114,3,,1581
DISABILITIES,"LANE, BALTIMORE, MD",,,,,,,,
,21239,,,,,,,,
27028-BALTIMORE IT ACADEMY #378,900 WOODBOURNE AVE AT,1113,35,2,2,86,6,,1244
,"TUNBRIDGE, BALTIMORE,",,,,,,,,
,MD 21212,,,,,,,,
27029-BALTIMORE IT ACADEMY #378,900 WOODBOURNE AVE AT,778,25,1,3,68,4,,879
,"TUNBRIDGE, BALTIMORE,",,,,,,,,
,MD 21212,,,,,,,,
27030-SCHOOL #242 NORTHWOOD ELEM,"5201 LOCH RAVEN BLVD,",1151,25,3,3,110,7,,1299
,"BALTIMORE, MD 21239",,,,,,,,
27031-SCHOOL #245 LEITH WALK ELEM,"1235 SHERWOOD AVENUE,",1889,64,9,5,174,5,,2146
SCH,"BALTIMORE, MD 21239",,,,,,,,
27033-SCHOOL #213 GOVANS ELEM,500 CAMPBELL LN AT,1858,111,5,7,232,10,,2223
,"GOVANE, BALTIMORE, MD",,,,,,,,
,21212,,,,,,,,
27034-DEWEESE REC CTR,"5501 IVANHOE AVE,",1236,46,3,1,107,4,,1397
,"BALTIMORE, MD 21212",,,,,,,,
27035-BALTIMORE IT ACADEMY #378,900 WOODBOURNE AVE AT,2445,76,6,6,239,14,,2786
,"TUNBRIDGE, BALTIMORE,",,,,,,,,
,MD 21212,,,,,,,,
27036-SCHOOL #214 GUILFORD MIDDLE,"4520 YORK RD,",770,26,5,2,90,2,,895
,"BALTIMORE, MD 21212",,,,,,,,
27048-RUSCOMBE GARDEN APTS,"4800 YELLOWWOOD AVE,",741,40,2,4,70,3,,860
,"BALTIMORE, MD 21209",,,,,,,,
27051-LEVINDALE HEBREW GERIATRIC,"2434 W BELVEDERE AVE,",211,19,2,0,15,1,,248
CENTER AND HOSPITAL,"BALTIMORE, MD 21215",,,,,,,,
27052-LEVINDALE HEBREW GERIATRIC,"2434 W BELVEDERE AVE,",2273,70,5,2,200,6,,2556
CENTER AND HOSPITAL,"BALTIMORE, MD 21215",,,,,,,,
27053-SCHOOL #62  EDGECOMBE CIRCLE,"2835 VIRGINIA AVE,",1316,41,3,3,112,8,,1483
ELEM,"BALTIMORE, MD 21215",,,,,,,,
27054-C.C. JACKSON REC CTR,"4910 PARK HGTS AVE,",469,26,2,3,49,2,,551
,"BALTIMORE, MD 21215",,,,,,,,
27055-SCHOOL #5  LANGSTON HUGHES,"5011 ARBUTUS AVE,",663,33,1,1,53,3,,754
ELEM,"BALTIMORE, MD 21215",,,,,,,,
27056-SCHOOL #5  LANGSTON HUGHES,"5011 ARBUTUS AVE,",819,33,1,2,71,5,,931
ELEM,"BALTIMORE, MD 21215",,,,,,,,
27057-SCHOOL #5  LANGSTON HUGHES,"5011 ARBUTUS AVE,",1701,55,0,2,144,6,,1908
ELEM,"BALTIMORE, MD 21215",,,,,,,,
27058-LEVINDALE HEBREW GERIATRIC,"2434 W BELVEDERE AVE,",549,16,2,1,31,0,,599
CENTER AND HOSPITAL,"BALTIMORE, MD 21215",,,,,,,,
27059-PUBLIC SAFETY TRAINING CENTER,3500 W NORTHERN PKWY,797,33,0,1,66,2,,899
,(ENTER ON MANHATTAN,,,,,,,,
,"AVE), BALTIMORE, MD",,,,,,,,
,21215,,,,,,,,
27060-PUBLIC SAFETY TRAINING CENTER,3500 W NORTHERN PKWY,1251,118,3,1,114,4,,1491
,(ENTER ON MANHATTAN,,,,,,,,
,"AVE), BALTIMORE, MD",,,,,,,,
,21215,,,,,,,,
27061-SCHOOL #401 NORTHWESTERN SR,"6900 PARK HEIGHTS AVE,",613,42,1,2,72,4,,734
HIGH,"BALTIMORE, MD 21215",,,,,,,,
28001-SCHOOL #241 FALLSTAFF MIDDLE,"3801 FALLSTAFF RD,",1095,37,1,3,118,7,,1261
,"BALTIMORE, MD 21215",,,,,,,,
28002-SCHOOL #224  GROVE PARK ELEM,"5545 KENNISON AVE,",1776,62,4,3,165,5,,2015
,"BALTIMORE, MD 21215",,,,,,,,
28003-SCHOOL #177 GEORGE MCMECHEN,"4411 GARRISON BLVD,",377,19,0,1,43,0,,440
JR/SR,"BALTIMORE, MD 21215",,,,,,,,
28004-SCHOOL #224 GROVE PARK ELEM,"5545 KENNISON AVE,",578,21,1,4,60,1,,665
,"BALTIMORE, MD 21215",,,,,,,,
28005-FOREST PARK SR CITIZEN CTR,"4801 LIBERTY HGTS AVE,",1388,40,0,2,121,2,,1553
,"BALTIMORE, MD 21207",,,,,,,,
28006-FOREST PARK SR CITIZEN CTR,"4801 LIBERTY HGTS AVE,",1996,57,7,4,209,11,,2284
,"BALTIMORE, MD 21207",,,,,,,,
28007-LIBERTY RECREATION CTR,"3901 MAINE AVE,",895,43,1,4,81,4,,1028
,"BALTIMORE, MD 21207",,,,,,,,
28008-LIBERTY RECREATION CTR,"3901 MAINE AVE,",1264,35,2,2,95,8,,1406
,"BALTIMORE, MD 21207",,,,,,,,
28009-SCHOOL #201 DICKEY HILL ELEM,"5025 DICKEY HILL RD,",1554,67,4,6,197,11,,1839
,"BALTIMORE, MD 21207",,,,,,,,
28010-SCHOOL #232 THOMAS JEFFERSON,"605 DRYDEN DR,",1662,82,6,2,167,8,,1927
ELEM,"BALTIMORE, MD 21229",,,,,,,,
28011-SCHOOL #232 THOMAS JEFFERSON,"605 DRYDEN DR,",1695,74,5,6,145,7,,1932
ELEM,"BALTIMORE, MD 21229",,,,,,,,
28012-SCHOOL #232 THOMAS JEFFERSON,"605 DRYDEN DR,",1055,93,3,7,137,7,,1302
ELEM,"BALTIMORE, MD 21229",,,,,,,,
28013-WESTSIDE SKILL CENTER,4501 EDMONDSON AVE -,1157,41,1,7,109,4,,1319
,"REAR OF BLDG.,",,,,,,,,
,"BALTIMORE, MD 21229",,,,,,,,
28014-SCHOOL #246 ANNEX BEECHFIELD,"301 S BEECHFIELD AVE,",478,22,2,3,47,2,,554
ELEM,"BALTIMORE, MD 21229",,,,,,,,
28015-SCHOOL #377 GREEN ST. ACADEMY,"201 NORTHBEND RD,",1379,160,4,6,224,13,,1786
,"BALTIMORE, MD 21229",,,,,,,,