"Label (Grouping)","Baltimore city, Maryland!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER",""
"    Households","55,198"
"        One race--",""
"            White","85,027"
"            Black or African American","45,420"
"            American Indian and Alaska Native","40,753"
"            Asian","71,655"
"            Native Hawaiian and Other Pacific Islander","-"
"            Some other race","48,745"
"        Two or more races","70,164"
"        Hispanic or Latino origin (of any race)","60,030"
"        White alone, not Hispanic or Latino","85,625"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER",""
"    15 to 24 years","48,118"
"    25 to 44 years","64,559"
"    45 to 64 years","55,465"
"    65 years and over","41,761"
"FAMILIES",""
"    Families","69,089"
"        With own children of householder under 18 years","53,566"
"        With no own children of householder under 18 years","78,166"
"        Married-couple families","102,119"
"            With own children under 18 years","117,574"
"        Female householder, no spouse present","46,475"
"            With own children under 18 years","34,107"
"        Male householder, no spouse present","65,929"
"            With own children under 18 years","47,038"
"FAMILY INCOME BY FAMILY SIZE",""
"    2-person families","61,251"
"    3-person families","70,167"
"    4-person families","77,355"
"    5-person families","81,201"
"    6-person families","71,710"
"    7-or-more person families","85,799"
"FAMILY INCOME BY NUMBER OF EARNERS",""
"    No earners","26,679"
"    1 earner","47,314"
"    2 earners","108,726"
"    3 or more earners","142,649"
"NONFAMILY HOUSEHOLDS",""
"    Nonfamily households","41,671"
"        Female householder","38,918"
"            Living alone","31,651"
"            Not living alone","111,831"
"        Male householder","43,575"
"            Living alone","36,481"
"            Not living alone","100,480"