OBJECTID,CSA2010,regvote10,regvote12,regvote14,regvote16,regvote18,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,83.37307787,82.83035935,83.04415755,86.07022166,87.18855357,63770461.7788696,38770.1655712993
2,Beechfield/Ten Hills/West Hills,79.73460722,81.58174098,85.60509554,87.68577576,90.13800425,47882527.7103882,37524.9505335319
3,Belair-Edison,81.70645238,83.24273221,83.94390609,87.30796576,89.15150083,44950030.4730835,31307.3148435425
4,Brooklyn/Curtis Bay/Hawkins Point,53.56862745,53.31372549,55.56862745,57.71568418,58.48039216,176077742.74884,150987.703638867
5,Canton,79.49774116,71.52537869,78.5277704,82.85942078,80.29497741,15408538.2250366,23338.6119473879
6,Cedonia/Frankford,73.89397943,78.50919107,78.68345607,83.34926367,85.47979088,71541340.3064575,39962.5498346832
7,Cherry Hill,82.48009101,82.30944255,81.85437998,84.90709066,84.56579446,29144181.3509521,22305.3020666181
8,Chinquapin Park/Belvedere,83.23500492,85.90626024,86.59455916,85.13602018,89.5280236,21022590.1308594,21705.411630313
9,Claremont/Armistead,60.71725054,60.86667774,71.50921468,76.67275667,70.3802092,61243774.420166,40104.4159801682
10,Clifton-Berea,91.4627515,89.49157151,82.20500272,82.99347758,79.83958673,23285233.9247437,24022.7646208591
11,Cross-Country/Cheswolde,83.07594669,89.67632748,85.61455469,89.50708508,91.61201608,38222018.3161011,26788.3018783368
12,Dickeyville/Franklintown,63.84462151,69.52191235,68.52589641,70.88313699,71.74634794,35719112.4156494,31637.8174239182
13,Dorchester/Ashburton,81.28382767,79.8441221,79.703399,82.31219053,83.91426716,34118277.1813354,27136.0757114923
14,Downtown/Seton Hill,63.82189239,53.19615449,54.71411705,61.54494882,77.98954292,20736554.4074707,21565.8593945813
15,Edmondson Village,93.91232423,95.98014888,92.78742763,93.56492758,93.25062035,23563061.0420532,21504.5513578794
16,Fells Point,74.19117647,68.88480392,79.31372549,83.98284316,87.24264706,12620515.7178345,27670.1699159415
17,Forest Park/Walbrook,81.13330722,76.7724246,82.89593942,85.27222872,86.36897767,37200535.0302734,36886.8997811911
18,Glen-Fallstaff,77.11485557,66.83287483,78.97180193,79.39305305,83.10694635,46995477.4786987,48549.0046178273
19,Greater Charles Village/Barclay,56.227971,55.96861076,52.96269203,59.37354565,60.82330252,27051213.4533691,26454.2692113237
20,Greater Govans,86.01337958,87.5,85.61694747,88.14420104,88.24331021,22698495.7171631,22982.1257151139
21,Greater Mondawmin,82.38497141,82.53471277,83.96406207,85.31173468,86.25102096,33663448.2785645,31136.7318903493
22,Greater Roland Park/Poplar Hill,87.99531851,90.38622304,88.63066377,91.10516906,92.62665106,56688145.178833,39862.74979523
23,Greater Rosemont,85.95331834,81.98818898,83.65438695,84.88470316,80.97581552,42204384.5422363,32559.0762209607
24,Greenmount East,96.49639817,83.62802881,86.49312377,86.82056069,88.34315652,19072287.8238525,20797.4734579349
25,Hamilton,75.48192771,80.96385542,81.35542169,84.62851644,86.30522088,45191100.559021,27712.1110915618
26,Harbor East/Little Italy,72.17222087,77.45074191,75.31014352,76.21016502,80.02918998,10215859.0836792,18552.4075815657
27,Harford/Echodale,76.27379943,79.45733446,80.23587451,84.24419761,85.68565482,65360039.1706543,40019.1854001662
28,Highlandtown,67.37976516,68.74698408,76.80553322,79.94209528,82.58002252,11684191.1186523,14976.1238513232
29,Howard Park/West Arlington,78.18624609,78.87046272,79.31114461,81.2710166,82.11759249,63262430.0732422,36034.4984469404
30,Inner Harbor/Federal Hill,80.26304479,77.70996304,84.97378148,87.14863062,92.90810625,24995836.2626343,43415.0595480214
31,Lauraville,80.69234007,79.73484848,85.33249158,88.36279511,88.85732323,49665744.2386475,34419.6765279205
32,Loch Raven,80.28676841,82.7352004,85.48549388,86.70132756,87.70752977,44147812.3255005,29314.3346716955
33,Madison/East End,78.32568807,77.56116208,74.00611621,77.40825415,76.94954128,8897845.1918335,13120.1587193738
34,Medfield/Hampden/Woodberry/Remington,70.30556108,72.02889905,74.6669318,79.52541709,82.9190694,62441489.2421265,43152.6256993066
35,Midtown,67.31572612,67.19535509,65.09948311,72.81739116,76.01784323,23823949.9295044,25020.0969697319
36,Midway/Coldstream,90.10234123,81.45240432,85.25164727,89.92009163,83.93382868,17884471.2859497,22767.8274161718
37,Morrell Park/Violetville,55.26170036,56.16172805,57.10329549,61.07726097,62.12960399,67470845.9887085,44412.7451302856
38,Mount Washington/Coldspring,94.25872093,102.5920543,94.50096899,98.40116501,104.1424419,56943058.6497192,38539.7661484881
39,North Baltimore/Guilford/Homeland,64.65993266,62.02693603,64.08754209,64.11447525,65.05723906,74923987.6950073,42904.2221443311
40,Northwood,77.20674487,78.40175953,75.56451613,78.96627784,78.82697947,52743271.767334,38889.894590744
41,Oldtown/Middle East,77.3253493,75.16966068,72.09580838,75.75515509,79.88023952,24585968.2337646,23866.3281788702
42,Orangeville/East Highlandtown,53.21215485,56.48674899,56.58387679,59.66421366,60.48286388,89894372.2116699,47825.8629265028
43,Patterson Park North & East,71.04472335,65.66201167,73.20134347,76.94007158,77.77974191,14507643.2038574,21786.3746600506
44,Penn North/Reservoir Hill,80.28957793,82.95314848,81.1501161,83.41756463,82.16090698,41059796.677124,29078.8384985517
45,Pimlico/Arlington/Hilltop,77.17618576,78.87091449,75.75657533,76.05370283,75.75657533,30400962.0054321,24725.9340692885
46,Poppleton/The Terraces/Hollins Market,74.34002112,83.28933474,77.08553326,78.85427475,81.3093981,9302012.99908447,12334.0275347781
47,Sandtown-Winchester/Harlem Park,79.64905933,75.723589,75.7959479,77.33357549,74.53871201,23672092.8675537,20987.1433065683
48,South Baltimore,76.48804329,76.92441962,92.51178216,99.35416579,102.7055333,46353935.425415,68440.0258268455
49,Southeastern,59.7340536,55.53708706,57.36546852,60.02493501,57.51090796,111251478.471619,102291.480548186
50,Southern Park Heights,79.75441445,73.82788715,79.05419119,80.23138046,80.91130505,27876227.5906372,24052.2213721279
51,Southwest Baltimore,70.09352959,70.49984667,66.94265563,69.45722103,66.82766023,37766068.8375854,28355.5635814291
52,The Waverlies,87.15657067,87.68619662,88.69579609,90.88050127,92.85004965,20383750.5442505,18733.8268798014
53,Upton/Druid Heights,79.06659389,80.96342795,73.21233624,77.49727368,78.67085153,16976622.3380737,19389.3078211578
54,Washington Village/Pigtown,67.7478721,68.99010812,74.48815275,81.09040856,82.76972625,39343262.0379028,36962.2600946233
55,Westport/Mount Winans/Lakeland,62.30845771,62.22885572,64.47761194,66.12935066,64.85572139,45494092.9506226,42573.1244163481
